id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
150,MBA SERDIKA EOOD,,42.6965713,23.3140773,1,UL.DAMTN GRUEV,6,,SOFIA,BG,Bulgaria,66,,,,,,,,,,01/01/12,16/04/2020,
151,MPHAL SILISTRA AD,,44.1102063,27.2636032,1,UL.PETER MUTAFCHIEV,80,,SILISTRA,BG,Bulgaria,294,,,,,,,,,,01/01/12,16/04/2020,
152,OOD,,42.6669197,23.3642185,1,BUL.D.M.DIMITROV,16,,SOFIA,BG,Bulgaria,433,,,,,,,,,,01/01/12,16/04/2020,
153,MBAL SREDETS,,42.3409849,27.1826005,1,− − − − − − − − − − − − − − − − − − − − − − − − − − −,,,SREDETS,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
154,IBAT NIKOLOV OOD,,42.4935313,24.1855538,1,UL.GEORGI BENKOVSKI,100,,PANAGYURISHTE,BG,Bulgaria,154,,,,,,,,,,01/01/12,16/04/2020,
155,MPHAL TETEVEN — DR ANGEL PETEV EOOD,,42.9195693,24.2556989,1,ULL DIMITER BLAGOEV,62,,TETEVEN,BG,Bulgaria,97,,,,,,,,,,01/01/12,16/04/2020,
156,SOFIA PLOVDIV AD,,42.6648764,23.3251226,1,BUL.NIKOLOA VAPTSAROV,51B,,SOFIA,BG,Bulgaria,524,,,,,,,,,,01/01/12,16/04/2020,
157,MBAL TRACISUM OOD,,42.140287,24.7514758,1,"KUL.CAR,  BORIS III CONNECTOR",126,,PLOVDIV,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
158,MBAL TROYAN EOOD,,42.8909952,24.7074795,1,30,,,TROYAN,BG,Bulgaria,126,,,,,,,,,,01/01/12,16/04/2020,
159,MBAL TUTRAKAN EOOD,,44.0440131,26.5951109,1,UL.TRANSMARISKA,101,,TUTRAKAN,BG,Bulgaria,88,,,,,,,,,,01/01/12,16/04/2020,
160,MPHAL TARGOVISHTE AD,,43.2423736,26.5621358,1,['KC.ZAGAAD'],,,TARGOVISHTE,BG,Bulgaria,396,,,,,,,,,,01/01/12,16/04/2020,
161,DIMITAR JAL HADZHI DIMITAR OOD,,42.6805385,26.3110059,1,ULL DIMITER PHAHLEBANESE,5,,GR. SLIVEN,BG,Bulgaria,171,,,,,,,,,,01/01/12,16/04/2020,
162,MBAL HARMANLI,,41.922349,25.9003651,1,UL.VASSILL LEVSKI,66,,HARMANLI,BG,Bulgaria,105,,,,,,,,,,01/01/12,16/04/2020,
163,MPHAT HASKOVO AD,,41.9328854,25.5655289,1,BUL.SINGLE,49,,HASKOVO,BG,Bulgaria,359,,,,,,,,,,01/01/12,16/04/2020,
164,MPHAL HIGIA AD,,42.1900032,24.3330592,1,VUL.FR.IVAN RILSKI,3,,PAZARDZHIK,BG,Bulgaria,130,,,,,,,,,,01/01/12,16/04/2020,
165,MR MPHAN OOD,,41.9330131,25.564338,1,UL.STEFAN STAMBOLOV,2,,HASKOVO,BG,Bulgaria,52,,,,,,,,,,01/01/12,16/04/2020,
166,BUL. HRISTO BOTEV AD VRATSA,,43.1975701,23.5610014,1,UL.WARTORI JUNE 66,,,VRATSA,BG,Bulgaria,378,,,,,,,,,,01/01/12,16/04/2020,
167,MERNA YOANA EOOD,,42.6835829,26.3064462,1,UL.BULAIR,49,,GR. SLIVEN,BG,Bulgaria,47,,,,,,,,,,01/01/12,16/04/2020,
168,MR JOANNA-REVADIA EOOD,,43.175467,27.437346,1,UL.JELEZ IORDANOV,1,,PROVADIA,BG,Bulgaria,65,,,,,,,,,,01/01/12,16/04/2020,
169,TOWN AND COUNTRY OF ASSOCIATION HOSJAL OOD,,42.1384274,24.7399342,1,"['UL.ILIP MACEDONIAN', ' 37']",,,PLOVDIV,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
170,MBAL CHERVEN BRYAG EOOD,,43.2734403,24.086355,1,UL.M SANDANSKI,61,,CHERVEN BRYAG,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
171,BLACK SEA BLACK SEA — BURGAS OOD,,42.4632844,27.4206948,1,['G.MEDICIAL MINE'],,,BURGAS,BG,Bulgaria,212,,,,,,,,,,01/01/12,16/04/2020,
172,MBAL CHIRPAN EOOD,,42.2035989,25.3444505,1,MR GEORGI DIMITROV,,,CHIRPAN,BG,Bulgaria,93,,,,,,,,,,01/01/12,16/04/2020,
173,MPHAT SHUMEN AD,,43.2771838,26.917043,1,UL.BAA ABY-CATCH,63,,SHUMEN,BG,Bulgaria,355,,,,,,,,,,01/01/12,16/04/2020,
174,MR JPHAN DOHWSKA — WHITE EOOD,,43.4583784,25.7485843,1,UL.VASSILL LEVSKI,62,,WHITE,BG,Bulgaria,105,,,,,,,,,,01/01/12,16/04/2020,
175,MALN SV. NAUM EAD,,42.6675272,23.3623141,1,"G.K.IV-ADMINISTRATIVE KILOMETRE,  UL.LUBEN RUSEV",1,,SOFIA,BG,Bulgaria,230,,,,,,,,,,01/01/12,16/04/2020,
176,QRM VITA EOOD,,42.0316594,23.9844203,1,UL.PUSHKIN,2,,VELINGRAD,BG,Bulgaria,134,,,,,,,,,,01/01/12,16/04/2020,
177,MRBLQ WORLD BOGORDITSA EOOD,,41.8988073,24.7470742,1,NSTUENSKI BATHS,,,NARECHENSKI BATHS,BG,Bulgaria,176,,,,,,,,,,01/01/12,16/04/2020,
178,MDB DRYANOVO EOOD,,42.9741619,25.4709971,1,UL.SHAM,164,,DRYANOVO,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
179,MINISTRY OF THE INTERIOR,,42.6935433,23.3082783,1,BUL.STOGELEV,79,,SOFIA,BG,Bulgaria,310,,,,,,,,,,01/01/12,16/04/2020,
180,MOBAL E-P STEFAN CHERKEZOV AD,,43.0752831,25.6139266,1,UL.NRIA,1,,VELIKO TARNOVO,BG,Bulgaria,370,,,,,,,,,,01/01/12,16/04/2020,
181,PLOVDIV TRANSPORT HOSPITAL,,42.1271054,24.7168887,1,UL.COLOHEVER,,,PLOVDIV,BG,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,
182,"NMW, BORIS III",,42.7127654,23.3182669,1,BUL.KNIYGINYA MARIA LOUISA,108,,SOFIA,BG,Bulgaria,126,,,,,,,,,,01/01/12,16/04/2020,
183,NSBFTR EAD,,42.6764449,23.2697994,1,BUL.OVA CUPEL,2C,,SOFIA,BG,Bulgaria,96,,,,,,,,,,01/01/12,16/04/2020,
184,FIFTH SOFIA EAD,,42.7132423,23.3121514,1,BUL.STOLOETOV,67A,,SOFIA,BG,Bulgaria,424,,,,,,,,,,01/01/12,16/04/2020,
185,SOFIA — GENERAL SOFIA EAD,,42.6990826,23.2890737,1,MR UL.MEHOLAKI TISHEV,2,,SOFIA,BG,Bulgaria,264,,,,,,,,,,01/01/12,16/04/2020,
186,FIRST IBLE SOFIA EAD,,42.6883425,23.3224994,1,BUL.TARYARX EVTIMIJ,37,,SOFIA,BG,Bulgaria,290,,,,,,,,,,01/01/12,16/04/2020,
187,FIRST PRIVATE MBAL EOOD,,43.1966354,23.5626349,1,KUL.SKACYZ,6,,VRATSA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
188,SAKGAL D-R SOVEV EOOD,,42.7000604,23.2875448,1,"J.DSADNICA,  UL.XILWTO BLAGOEV",25-31,,SOFIA,BG,Bulgaria,32,,,,,,,,,,01/01/12,16/04/2020,
189,SARGAL EVA EOOD,,42.6922737,26.3432032,1,UL.ICAL ROAD,11,,GR. SLIVEN,BG,Bulgaria,69,,,,,,,,,,01/01/12,16/04/2020,
190,SGAGALE’S HOME EOOD,,43.2202124,27.9264414,1,UL.IR,1,,VARNA,BG,Bulgaria,48,,,,,,,,,,01/01/12,16/04/2020,
191,DR. E. STAMATOV VARNA EOOD,,43.215529,27.9141247,1,BUL.CAR EXEMPTED COLLECTOR,150,,VARNA,BG,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,
192,MR JOHN PAUL OOD,,42.7131241,23.3127522,1,BUL.STOLOETOV,67A,,SOFIA,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
193,SBAL OF UNGMP SV.KZOMA AND DAMYAN OOD,,42.1303399,24.7791052,1,J.K.B.191.,,,PLOVDIV,BG,Bulgaria,25,,,,,,,,,,01/01/12,16/04/2020,
194,SHEARTED BY VISION,,42.6808146,23.310357,1,"KC.IVAN VASOV,  UL.BALSA",5,,SOFIA,BG,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,
195,ELECTRICAL ORTHOPAEDICO PROF BOYCHO BOYCHEV EAD,,42.67454,23.2473493,1,BUL.NIKOLA PETKOV,56,,SOFIA,BG,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,
196,HYPERLINK” HTTP://EUROPA.EU.INT/COMM/COMMISSION_BARROSO/KALLAS/CABINET/S.CFM?VIEW=@@,,43.213582099999996,27.918148,1,BUL.CAR EXEMPTED COLLECTOR,100,,VARNA,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
197,CARDIOLOGY VELIKO TURNOVO EAD,,43.0850315,25.6321657,1,BUL.BULGARIA,38,,VELIKO TARNOVO,BG,Bulgaria,54,,,,,,,,,,01/01/12,16/04/2020,
198,CARDIOLOGY YAMBOL EAD,,42.4869491,26.5171847,1,ULL DIMITER BLAGOEV,69,,YAMBOL,BG,Bulgaria,38,,,,,,,,,,01/01/12,16/04/2020,
199,LCH EOOD,,42.6845412,23.3054352,1,"ECHA,  SOFIA",1,,SOFIA,BG,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,
200,SGEL POIMDE OOD,,42.7000505,23.3070096,1,DOMESTIC CONTROL,47,,SOFIA,BG,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,
201,ST SVETI LAZAR OOD,,42.6593715,23.3363825,1,BUL.SIMEOZOVOCS ROAD,,,SOFIA,BG,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,
202,SBALD MOTHER HOME,,42.6834449,23.3115184,1,UL.HEALTH,2,,SOFIA,BG,Bulgaria,390,,,,,,,,,,01/01/12,16/04/2020,
203,SBALD WORLD MARINA OOD,,43.4098819,24.6209139,1,UL.CAR SIMEON,23,,PLEVEN,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
204,SBALD SELENIUM LTD,,42.1346006,24.7094429,1,BUL.PENCHEROCS ROAD,80,,PLOVDIV,BG,Bulgaria,53,,,,,,,,,,01/01/12,16/04/2020,
205,WWALD FERTILISER,,42.1507019,24.7431529,1,ULL DIMITER TZONCHEV,5,,PLOVDIV,BG,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,
206,SBALGRM SOFIA OOD,,42.6573792,23.3529344,1,"['PAȘCU', ' 5B']",,,SOFIA,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
207,SBALB PERNIK EOOD,,42.5838367,23.020944,1,M-T.ROOT BRDO,,,PERNIK,BG,Bulgaria,95,,,,,,,,,,01/01/12,16/04/2020,
208,SOFIA WORLD EAD,,42.6821475,23.3028817,1,BUL.AKAE.IV.GUIA,19,,SOFIA,BG,Bulgaria,265,,,,,,,,,,01/01/12,16/04/2020,
209,SBALB GABROVO EOOD,,42.8439008,25.3145385,1,CC.DAIE DYANKO,,,GR. GABROVO,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
210,SBALB TROYAN EOOD,,42.8975505,24.7114277,1,UL.VASSILL LEVSKI,253,,TROYAN,BG,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,
211,SBALVB TOPOLOVGRAD EOOD,,42.0840427,26.330291,1,UL.MUTUS,1,,TOPOLOVGRAD,BG,Bulgaria,20,,,,,,,,,,01/01/12,16/04/2020,
212,SBALB GODECH EOOD,,43.0161679,23.0430079,1,1,,,GODECH,BG,Bulgaria,25,,,,,,,,,,01/01/12,16/04/2020,
213,SGALDAR E-P MALINOV OOD,,42.6751868,23.2893527,1,BUL.GOKE DELCHEV,46,,SOFIA,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
214,AUSTRIAN VERTEBRAL CENTRE AD,,42.6846378,23.3038044,1,"BUL.GEOGHI,  SOFIA",3,,SOFIA,BG,Bulgaria,21,,,,,,,,,,01/01/12,16/04/2020,
215,DR LECCHOVA EOOD,,43.2309071,27.8786927,1,BUL.BULGARIA MEDICAL COMPLEX MLADOST,,,VARNA,BG,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,
216,SBALDB PROF.IV.METI EAD,,42.6839457,23.3020878,1,UL.ACAE.IVAN GEHOV,11,,SOFIA,BG,Bulgaria,107,,,,,,,,,,01/01/12,16/04/2020,
217,SBALDOHZ SOFIA EOOD,,42.7003245,23.3394778,1,UL.BRALOROSEA,8,,SOFIA,BG,Bulgaria,36,,,,,,,,,,01/01/12,16/04/2020,
218,SBALIPB PROF IS KIROV EAD,,42.6812957,23.3033645,1,BUL.AKAE.IV.GUIA,17,,SOFIA,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
219,SBALK EAD,,43.4082042,24.6052337,1,"['UL.GENEIRA VLADIMIR VASOV', ' 91']",,,PLEVEN,BG,Bulgaria,36,,,,,,,,,,01/01/12,16/04/2020,
220,SBALK CARDIOLION OOD,,43.2309149,27.8786927,1,"['BUL.REPUBLIC', ' MLADOST MEDICAL CENTRE']",,,VARNA,BG,Bulgaria,16,,,,,,,,,,01/01/12,16/04/2020,
221,SBALK CARDIO-POISON OOD,,42.5132937,27.4664801,1,UL.STEFAN STAMBOLOV,73,,BURGAS,BG,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,
222,SBALK MEDIA KRAC,,43.8587377,25.9605002,1,COUNTED,2,,RUSE,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
223,SBALB SVETI GEORGI EOOD,,43.4016645,23.2390666,1,BUL.ALEKSANDER STAMBOLIYSKI,,,MONTANA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
224,SBALO EAD,,42.6605688,23.3600664,1,STORAGE FIELD,6,,SOFIA,BG,Bulgaria,242,,,,,,,,,,01/01/12,16/04/2020,
225,SBALO SVETI MINE,,42.0074805,23.0848289,1,BUL.BAA LEVSKI,62,,BLAGOEVGRAD,BG,Bulgaria,81,,,,,,,,,,01/01/12,16/04/2020,
226,SBALO HASKOVO EOOD,,41.9329173,25.5655074,1,BUL.SINGLE,49,,HASKOVO,BG,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,
227,SBALOR D-P MARCO ANTONOV MARKOV VARNA EOOD,,43.2153062,27.9181641,1,BUL.CAR EXEMPTED COLLECTOR,100,,VARNA,BG,Bulgaria,139,,,,,,,,,,01/01/12,16/04/2020,
228,SBALOR ARC EOOD,,42.6880053,23.2932016,1,['J.K.LAGERA'],,,SOFIA,BG,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,
229,SBALOR EOOD,,42.6555862,23.3714122,1,BUL.ANDREY SAKHAROV,1,,SOFIA,BG,Bulgaria,48,,,,,,,,,,01/01/12,16/04/2020,
230,SGDTA OOD,,42.7123121,23.31581,1,BUL.MARIA LOUISA,191,,SOFIA,BG,Bulgaria,15,,,,,,,,,,01/01/12,16/04/2020,
231,SOFIA REGION EOOD,,42.7132423,23.3121622,1,BUL.STOLOETV,67,,SOFIA,BG,Bulgaria,58,,,,,,,,,,01/01/12,16/04/2020,
232,SBALOF VITOSHA EOOD,,42.6423525,23.3342314,1,BUL.SIMEOZOVOCS ROAD,108B,,SOFIA,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
233,SBALNTR EOOD,,42.0232674,23.0919313,1,UL.CAANCO ZERWSKI,4,,BLAGOEVGRAD,BG,Bulgaria,41,,,,,,,,,,01/01/12,16/04/2020,
234,SBALPFZ BURGAS EOOD,,42.500631,27.4769837,1,GUEN.GUEN.GUGU.GU.GU.GU.GEN.GU.GU.GEN.GU.GU.G@@,,,BURGAS,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
235,SBALPFZ VARNA EOOD,,43.2099656,27.8911221,1,UL.MANUCH VOYVODA,11A,,VARNA,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
236,SBALPFAA E P TRIMANN EOOD,,43.0737313,25.6431252,1,KUL.HIUM CARAMINOKOV,19,,VELIKO TARNOVO,BG,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,
237,SBALPFZ EOOD,,42.18356,24.3421197,1,BLUEFIN,15,,PAZARDZHIK,BG,Bulgaria,33,,,,,,,,,,01/01/12,16/04/2020,
238,SBALPFZ EOOD,,41.9294133,25.512169,1,MR V.BOOLRECEQS,,,HASKOVO,BG,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,
239,SBALPFZ RUSE EOOD,,43.858231,25.9625548,1,LULE LILY,1,,RUSE,BG,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,
240,SBALPFCA SOFIA REGION,,42.7059204,23.3334294,1,BUL.CONTROLACTIVITYA,309,,SOFIA,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
241,SBALPFZ STARA ZAGORA EOOD,,42.4240663,25.611797,1,UL.ARMESKA,11,,STARA ZAGORA,BG,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,
242,BALPFZ VRATSA EOOD,,43.19836,23.562541,1,UL.GEN. ELONOV,93,,VRATSA,BG,Bulgaria,80,,,,,,,,,,01/01/12,16/04/2020,
243,GULF OF AMERICA EKATERINA SAD,,42.6850105,23.3120763,1,BUL.PENCH SLAVEIKOV,52A,,SOFIA,BG,Bulgaria,139,,,,,,,,,,01/01/12,16/04/2020,
244,MR DIMITAR ŠOILEV EAD,,42.6641388,23.3448261,1,BUL.NIKOLA GABROVSKI,1,,SOFIA,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
245,SBALJVS MEDIA LTD,,43.8587377,25.9605002,1,COUNTED,2,,RUSE,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
246,SBALHY EAD,,42.6605688,23.3600664,1,STORAGE FIELD,6,,SOFIA,BG,Bulgaria,82,,,,,,,,,,01/01/12,16/04/2020,
247,SBR STAMBOLIYSKI EOOD,,42.1373534,24.5344126,1,BUL.DRNAIN,34,,STAMBOLIYSKI,BG,Bulgaria,45,,,,,,,,,,01/01/12,16/04/2020,
248,SBTP IVAN REB SOPOT EOOD,,42.6509306,24.7507542,1,UL.3-TI MARCH 20,,,“SOPOT”,BG,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,
249,RDPL MALKO EOOD,,41.9772071,27.5219536,1,UL.CNS BORIS,52,,MALKO TARNOVO,BG,Bulgaria,20,,,,,,,,,,01/01/12,16/04/2020,
250,SBLBB ROMAN EOOD,,43.1590498,23.9233625,1,ULL DIMITER BLAGOEV,2,,ROMAN,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
251,SBRCDES RADUNGI EOOD,,42.6799194,25.5962133,1,SG RADUNDS,,,RADUNTSI,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
252,ESBR BOILER EOOD,,42.8923472,26.4356053,1,CLOSI-CLOSED,85,,BOILER,BG,Bulgaria,55,,,,,,,,,,01/01/12,16/04/2020,
253,SDPLERPET EOOD,,41.8474703,26.0776162,1,PARAMOUNT STATES OF THE UNITED STATES,38,,LYUBIMETZ,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
254,SBLQ BUHOVO EOOD,,42.7614957,23.5592043,1,"SAMPLED,  VELKO",2,,BUHOVO,BG,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,
255,SBS KREMIKOVTSI EOOD,,42.7846929,23.5007644,1,"KC.KSIMINOWSKI,  ULA LEVSKI",2,,SOFIA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
256,RDPLP PERNIK EOOD,,42.5915343,23.0303049,1,PL,102,,PERNIK,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
257,SBRLVB MEZDRA EOOD,,43.1322273,23.7021822,1,UL.MANDATESRIZESE,100,,MEZDRA,BG,Bulgaria,80,,,,,,,,,,01/01/12,16/04/2020,
258,BULGARIAN SOFIA EOOD,,42.693977,23.2924479,1,RENEWABLE,1,,SOFIA,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
259,RFLQ KOSTENETS EOOD,,42.3060585,23.8628572,1,URBAN ROAD,56,,KOSTENETS,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
260,SBRL PANCHAREVO EOOD,,42.581771,23.4255874,1,ULVSKOG,1,,MR PANCHARIA,BG,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,
261,THE WORLD FRESRPKA BULGARIAN EOOD,,42.0240445,23.9881861,1,IV-KM,,,VELINGRAD,BG,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,
262,SCK LAZAR EOOD,,42.6208488,25.3922072,1,UL.D-P BAEV,15,,KAZANLAK,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
263,SBAL VARNA EOOD,,43.2166315,27.9136634,1,ULVSKOG,15,,VARNA,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
264,SCRIPTITLE E.P.P.KDOULOGLOU EOOD,,42.1473332,24.7906065,1,BUL.ЦАЧАРАЧАРОСТИ,108,,PLOVDIV,BG,Bulgaria,135,,,,,,,,,,01/01/12,16/04/2020,
265,CBPPZDPQ CAR FERDINAND IEOOD,,42.9838518,23.2744396,1,['SG/HR'],,,THE RECYSO,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
266,BTK EAD,,42.6871517,23.3273971,1,BUL.BAA LEVSKI,54,,SOFIA,BG,Bulgaria,75,,,,,,,,,,01/01/12,16/04/2020,
267,BNRP EAD BANITE,,41.6150172,25.0079674,1,UL.STEFAN STAMBOLOV,2,,BANITE,BG,Bulgaria,151,,,,,,,,,,01/01/12,16/04/2020,
268,BFC EAD BANKYA,,42.7097973,23.150661,1,UL.XEYCEQS,8,,BANKYA,BG,Bulgaria,75,,,,,,,,,,01/01/12,16/04/2020,
269,BCC BATHROOM,,42.5391905,24.8400664,1,UL.LES,1,,BANYA,BG,Bulgaria,188,,,,,,,,,,01/01/12,16/04/2020,
270,ESBR JSC VELINGRAD,,42.0305039,23.980279,1,UL.GOEDELCHEV,38,,VELINGRAD,BG,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,
271,BSO NRIC KJUSTENDIL,,42.2846592,22.6903027,1,UL.CAR SIMEO28,,,KYUSTENDIL,BG,Bulgaria,156,,,,,,,,,,01/01/12,16/04/2020,
272,SBR UNDER THE MBID AISLE,,42.3302346,23.8718426,1,CAC.MMID AISLE,,,KOSTENETS,BG,Bulgaria,190,,,,,,,,,,01/01/12,16/04/2020,
273,SHORDER NK EAD,,41.9021373,24.7507167,1,UL.CRPDT,2,,NARECHENSKI BATHS,BG,Bulgaria,190,,,,,,,,,,01/01/12,16/04/2020,
274,SBR UNDER THE OVA-MOGILA,,43.4353923,25.2631447,1,SG & L MOGILA,,,SHEEP MOGILA,BG,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,
275,RCC EAD PAVEL BANYA,,42.6003248,25.2116919,1,UL.FREEZENDIX,2,,PAVEL BATH,BG,Bulgaria,224,,,,,,,,,,01/01/12,16/04/2020,
276,NVZ EAD POMORIE,,42.5643337,27.637428,1,BUL.P.STOYANOV,7,,POMORIE,BG,Bulgaria,180,,,,,,,,,,01/01/12,16/04/2020,
277,BSGR EAD SANDANSKI,,41.5791367,23.2850343,1,['1'],,,SANDANSKI,BG,Bulgaria,180,,,,,,,,,,01/01/12,16/04/2020,
278,THE SBR OF THE CRIMINAL CODE,,43.1875776,23.2833767,1,PARK AREA,,,VARSHETS,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
279,BUCR EAD HICAR,,42.4997372,24.712919,1,UL.GENEAR GURKO,2,,HISARYA,BG,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,
280,BSGMS BOURGASSKI HEAD,,42.6109301,27.3917913,1,UL.IV.BOOROV,19,,BURGAS,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
281,SGMS VARNA AD,,43.2610264,28.0305541,1,['K.K.ZLATARY SANDS'],,,VARNA,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
282,BR HEALTH SAD,,42.7099707,23.1466699,1,— GEORGI SAWA RAKOVSKI,15,,BANKYA,BG,Bulgaria,300,,,,,,,,,,01/01/12,16/04/2020,
283,SBR MARIE EOOD,,42.6530888,27.6919198,1,FRESEBER,,,NESSEBAR,BG,Bulgaria,73,,,,,,,,,,01/01/12,16/04/2020,
284,BIR MARIKACINE EOOD,,41.4310154,23.3401215,1,C.MARCYINCEINCEMENT,,,MR MARICASTINCEMENT,BG,Bulgaria,114,,,,,,,,,,01/01/12,16/04/2020,
285,SBR SAPAREVA BATH AD,,42.2909849,23.2558036,1,UL.SERAFOSED YORDANOV,1,,SAPAREVA BATH,BG,Bulgaria,200,,,,,,,,,,01/01/12,16/04/2020,
286,SBR STTANKOV AND LAST NAME OF THE EOOD FAMILY,,42.6835829,27.7089143,1,['K.C.HP'],,,NESSEBAR,BG,Bulgaria,126,,,,,,,,,,01/01/12,16/04/2020,
287,WWS EOOD,,43.4013371,28.2261515,1,TUZATA,,,BALCHIK,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
288,SBRHON OOD,,42.8749105,25.6429213,1,ULL,1,,WATERFRONT WATER,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
289,SALLE BURGAS OOD,,42.5185862,27.4571916,1,"G.K.P.M.SLAVIKOV,  UL.GEORGI MINKOV",174,,BURGAS,BG,Bulgaria,13,,,,,,,,,,01/01/12,16/04/2020,
290,MR SULLE AKAE.PACHEV OOD,,42.7018265,23.3693576,1,MR UL.EMANWIL VASSKIDCOVIC,51,,SOFIA,BG,Bulgaria,14,,,,,,,,,,01/01/12,16/04/2020,
291,MR SKOBAL BUL-REO EAD,,42.6761018,23.2485831,1,BUL.NIKOLA PETROV,56,,SOFIA,BG,Bulgaria,25,,,,,,,,,,01/01/12,16/04/2020,
292,SNELE WARRIAN OOD,,42.688376,23.3054298,1,L.VULAR GRIGOROVICH,8,,SOFIA,BG,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,
293,MR SOBIL VISAS OOD,,42.6704006,23.2510695,1,UL.NIF POPJORDANIAN,18,,SOFIA,BG,Bulgaria,11,,,,,,,,,,01/01/12,16/04/2020,
294,STOBAL DOVE. MR GEORGIEV EOOD,,43.2079598,27.9080388,1,HILWTO POPOVICH,18,,VARNA,BG,Bulgaria,15,,,,,,,,,,01/01/12,16/04/2020,
295,COBAL D-P TASKOV LTD,,43.2483522,26.5601617,1,UL.ALEKSANDER STAMBOLIYSKI,25,,TARGOVISHTE,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
296,SKOBIL LUXOR EOOD,,42.1584368,24.740653000000002,1,BUL.BULGARIA,47A,,PLOVDIV,BG,Bulgaria,12,,,,,,,,,,01/01/12,16/04/2020,
297,SOBAL-BALHUMAN,,43.2058542,23.5545936,1,UL.TRAYCHO QUETANCHEV,10,,VRATSA,BG,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,
298,BALO MEDIA OOD,,42.1271134,24.7168887,1,UL.COLOHEVER,,,PLOVDIV,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
