hospital_name,site_name,street,house_number,postcode,city,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments,x,y
VIANALYISMOH-SOFIA АД,,['G.K.YOUTH 1'],,,SOFIA,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5414802,2268508
MAL-ST PANELAITON — PLOVDIV EOOD,,BUL.NIKOLOA VAPTSAROV,9,,PLOVDIV,Bulgaria,246,,,,,,,,,,01/01/12,16/04/2020,,5536211,2232478
МИТНИЦИ ПАЗАР АД,,MR OPOULOS OF HITOV,30,,YAMBOL,Bulgaria,285,,,,,,,,,,01/01/12,16/04/2020,,5670873,2302595
SVILENGRAD EOOD,,UL.SAN STEFANO,1,,SVILENGRAD,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,,5661537,2219815
MBAL SVOGE EOOD,,UL.STAROLISKA,4,,SVOGE,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,,5406111,2302984
MBA SERDIKA EOOD,,UL.DAMTN GRUEV,6,,SOFIA,Bulgaria,66,,,,,,,,,,01/01/12,16/04/2020,,5408908,2273321
MPHAL SILISTRA AD,,UL.PETER MUTAFCHIEV,80,,SILISTRA,Bulgaria,294,,,,,,,,,,01/01/12,16/04/2020,,5692202,2492519
OOD,,BUL.D.M.DIMITROV,16,,SOFIA,Bulgaria,433,,,,,,,,,,01/01/12,16/04/2020,,5413500,2270803
MBAL SREDETS,,− − − − − − − − − − − − − − − − − − − − − − − − − − −,,,SREDETS,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5727795,2298842
IBAT NIKOLOV OOD,,UL.GEORGI BENKOVSKI,100,,PANAGYURISHTE,Bulgaria,154,,,,,,,,,,01/01/12,16/04/2020,,5483130,2264171
MPHAL TETEVEN — DR ANGEL PETEV EOOD,,ULL DIMITER BLAGOEV,62,,TETEVEN,Bulgaria,97,,,,,,,,,,01/01/12,16/04/2020,,5480468,2311815
SOFIA PLOVDIV AD,,BUL.NIKOLOA VAPTSAROV,51B,,SOFIA,Bulgaria,524,,,,,,,,,,01/01/12,16/04/2020,,5410379,2270011
MBAL TRACISUM OOD,,"KUL.CAR,  BORIS III CONNECTOR",126,,PLOVDIV,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5535939,2234545
MBAL TROYAN EOOD,,30,,,TROYAN,Bulgaria,126,,,,,,,,,,01/01/12,16/04/2020,,5517264,2315790
MBAL TUTRAKAN EOOD,,UL.TRANSMARISKA,101,,TUTRAKAN,Bulgaria,88,,,,,,,,,,01/01/12,16/04/2020,,5641655,2473258
MPHAL TARGOVISHTE AD,,['KC.ZAGAAD'],,,TARGOVISHTE,Bulgaria,396,,,,,,,,,,01/01/12,16/04/2020,,5657476,2385455
DIMITAR JAL HADZHI DIMITAR OOD,,ULL DIMITER PHAHLEBANESE,5,,GR. SLIVEN,Bulgaria,171,,,,,,,,,,01/01/12,16/04/2020,,5650175,2319856
MBAL HARMANLI,,UL.VASSILL LEVSKI,66,,HARMANLI,Bulgaria,105,,,,,,,,,,01/01/12,16/04/2020,,5633729,2230102
MPHAT HASKOVO AD,,BUL.SINGLE,49,,HASKOVO,Bulgaria,359,,,,,,,,,,01/01/12,16/04/2020,,5606315,2225465
MPHAL HIGIA AD,,VUL.FR.IVAN RILSKI,3,,PAZARDZHIK,Bulgaria,130,,,,,,,,,,01/01/12,16/04/2020,,5500988,2233308
MR MPHAN OOD,,UL.STEFAN STAMBOLOV,2,,HASKOVO,Bulgaria,52,,,,,,,,,,01/01/12,16/04/2020,,5606216,2225458
BUL. HRISTO BOTEV AD VRATSA,,UL.WARTORI JUNE 66,,,VRATSA,Bulgaria,378,,,,,,,,,,01/01/12,16/04/2020,,5419489,2331756
MERNA YOANA EOOD,,UL.BULAIR,49,,GR. SLIVEN,Bulgaria,47,,,,,,,,,,01/01/12,16/04/2020,,5649742,2320106
MR JOANNA-REVADIA EOOD,,UL.JELEZ IORDANOV,1,,PROVADIA,Bulgaria,65,,,,,,,,,,01/01/12,16/04/2020,,5728290,2394236
TOWN AND COUNTRY OF ASSOCIATION HOSJAL OOD,,"['UL.ILIP MACEDONIAN', ' 37']",,,PLOVDIV,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5535040,2234156
MBAL CHERVEN BRYAG EOOD,,UL.M SANDANSKI,61,,CHERVEN BRYAG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,,5460010,2347901
BLACK SEA BLACK SEA — BURGAS OOD,,['G.MEDICIAL MINE'],,,BURGAS,Bulgaria,212,,,,,,,,,,01/01/12,16/04/2020,,5743987,2316611
MBAL CHIRPAN EOOD,,MR GEORGI DIMITROV,,,CHIRPAN,Bulgaria,93,,,,,,,,,,01/01/12,16/04/2020,,5582699,2251222
MPHAT SHUMEN AD,,UL.BAA ABY-CATCH,63,,SHUMEN,Bulgaria,355,,,,,,,,,,01/01/12,16/04/2020,,5684754,2395646
MR JPHAN DOHWSKA — WHITE EOOD,,UL.VASSILL LEVSKI,62,,WHITE,Bulgaria,105,,,,,,,,,,01/01/12,16/04/2020,,5588259,2394816
MALN SV. NAUM EAD,,"G.K.IV-ADMINISTRATIVE KILOMETRE,  UL.LUBEN RUSEV",1,,SOFIA,Bulgaria,230,,,,,,,,,,01/01/12,16/04/2020,,5413335,2270842
QRM VITA EOOD,,UL.PUSHKIN,2,,VELINGRAD,Bulgaria,134,,,,,,,,,,01/01/12,16/04/2020,,5475682,2210596
MRBLQ WORLD BOGORDITSA EOOD,,NSTUENSKI BATHS,,,NARECHENSKI BATHS,Bulgaria,176,,,,,,,,,,01/01/12,16/04/2020,,5540424,2208121
MDB DRYANOVO EOOD,,UL.SHAM,164,,DRYANOVO,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,,5576621,2337354
MINISTRY OF THE INTERIOR,,BUL.STOGELEV,79,,SOFIA,Bulgaria,310,,,,,,,,,,01/01/12,16/04/2020,,5408495,2272905
MOBAL E-P STEFAN CHERKEZOV AD,,UL.NRIA,1,,VELIKO TARNOVO,Bulgaria,370,,,,,,,,,,01/01/12,16/04/2020,,5585858,2350782
PLOVDIV TRANSPORT HOSPITAL,,UL.COLOHEVER,,,PLOVDIV,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,,5533396,2232548
"NMW, BORIS III",,BUL.KNIYGINYA MARIA LOUISA,108,,SOFIA,Bulgaria,126,,,,,,,,,,01/01/12,16/04/2020,,5408951,2275154
NSBFTR EAD,,BUL.OVA CUPEL,2C,,SOFIA,Bulgaria,96,,,,,,,,,,01/01/12,16/04/2020,,5405699,2270477
FIFTH SOFIA EAD,,BUL.STOLOETOV,67A,,SOFIA,Bulgaria,424,,,,,,,,,,01/01/12,16/04/2020,,5408448,2275117
SOFIA — GENERAL SOFIA EAD,,MR UL.MEHOLAKI TISHEV,2,,SOFIA,Bulgaria,264,,,,,,,,,,01/01/12,16/04/2020,,5406844,2273233
FIRST IBLE SOFIA EAD,,BUL.TARYARX EVTIMIJ,37,,SOFIA,Bulgaria,290,,,,,,,,,,01/01/12,16/04/2020,,5409739,2272542
FIRST PRIVATE MBAL EOOD,,KUL.SKACYZ,6,,VRATSA,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5419638,2331678
SAKGAL D-R SOVEV EOOD,,"J.DSADNICA,  UL.XILWTO BLAGOEV",25-31,,SOFIA,Bulgaria,32,,,,,,,,,,01/01/12,16/04/2020,,5406702,2273318
SARGAL EVA EOOD,,UL.ICAL ROAD,11,,GR. SLIVEN,Bulgaria,69,,,,,,,,,,01/01/12,16/04/2020,,5652489,2321704
SGAGALE’S HOME EOOD,,UL.IR,1,,VARNA,Bulgaria,48,,,,,,,,,,01/01/12,16/04/2020,,5765810,2408418
DR. E. STAMATOV VARNA EOOD,,BUL.CAR EXEMPTED COLLECTOR,150,,VARNA,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,,5764955,2407673
MR JOHN PAUL OOD,,BUL.STOLOETOV,67A,,SOFIA,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5408499,2275113
SBAL OF UNGMP SV.KZOMA AND DAMYAN OOD,,J.K.B.191.,,,PLOVDIV,Bulgaria,25,,,,,,,,,,01/01/12,16/04/2020,,5538382,2233907
SHEARTED BY VISION,,"KC.IVAN VASOV,  UL.BALSA",5,,SOFIA,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,,5408895,2271542
ELECTRICAL ORTHOPAEDICO PROF BOYCHO BOYCHEV EAD,,BUL.NIKOLA PETKOV,56,,SOFIA,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,,5403921,2269944
HYPERLINK” HTTP://EUROPA.EU.INT/COMM/COMMISSION_BARROSO/KALLAS/CABINET/S.CFM?VIEW=@@,,BUL.CAR EXEMPTED COLLECTOR,100,,VARNA,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5765320,2407539
CARDIOLOGY VELIKO TURNOVO EAD,,BUL.BULGARIA,38,,VELIKO TARNOVO,Bulgaria,54,,,,,,,,,,01/01/12,16/04/2020,,5587102,2352153
CARDIOLOGY YAMBOL EAD,,ULL DIMITER BLAGOEV,69,,YAMBOL,Bulgaria,38,,,,,,,,,,01/01/12,16/04/2020,,5671044,2302478
LCH EOOD,,"ECHA,  SOFIA",1,,SOFIA,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,,5408430,2271878
SGEL POIMDE OOD,,DOMESTIC CONTROL,47,,SOFIA,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,,5408274,2273599
ST SVETI LAZAR OOD,,BUL.SIMEOZOVOCS ROAD,,,SOFIA,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,,5411389,2269572
SBALD MOTHER HOME,,UL.HEALTH,2,,SOFIA,Bulgaria,390,,,,,,,,,,01/01/12,16/04/2020,,5408941,2271847
SBALD WORLD MARINA OOD,,UL.CAR SIMEON,23,,PLEVEN,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5499865,2371088
SBALD SELENIUM LTD,,BUL.PENCHEROCS ROAD,80,,PLOVDIV,Bulgaria,53,,,,,,,,,,01/01/12,16/04/2020,,5532642,2233246
WWALD FERTILISER,,ULL DIMITER TZONCHEV,5,,PLOVDIV,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,,5535055,2235547
SBALGRM SOFIA OOD,,"['PAȘCU', ' 5B']",,,SOFIA,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5412763,2269595
SBALB PERNIK EOOD,,M-T.ROOT BRDO,,,PERNIK,Bulgaria,95,,,,,,,,,,01/01/12,16/04/2020,,5387244,2256773
SOFIA WORLD EAD,,BUL.AKAE.IV.GUIA,19,,SOFIA,Bulgaria,265,,,,,,,,,,01/01/12,16/04/2020,,5408267,2271579
SBALB GABROVO EOOD,,CC.DAIE DYANKO,,,GR. GABROVO,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,,5566866,2320538
SBALB TROYAN EOOD,,UL.VASSILL LEVSKI,253,,TROYAN,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,,5517448,2316569
SBALVB TOPOLOVGRAD EOOD,,UL.MUTUS,1,,TOPOLOVGRAD,Bulgaria,20,,,,,,,,,,01/01/12,16/04/2020,,5665012,2255298
SBALB GODECH EOOD,,1,,,GODECH,Bulgaria,25,,,,,,,,,,01/01/12,16/04/2020,,5381284,2304436
SGALDAR E-P MALINOV OOD,,BUL.GOKE DELCHEV,46,,SOFIA,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5407302,2270622
AUSTRIAN VERTEBRAL CENTRE AD,,"BUL.GEOGHI,  SOFIA",3,,SOFIA,Bulgaria,21,,,,,,,,,,01/01/12,16/04/2020,,5408297,2271865
DR LECCHOVA EOOD,,BUL.BULGARIA MEDICAL COMPLEX MLADOST,,,VARNA,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,,5761782,2408657
SBALDB PROF.IV.METI EAD,,UL.ACAE.IVAN GEHOV,11,,SOFIA,Bulgaria,107,,,,,,,,,,01/01/12,16/04/2020,,5408171,2271765
SBALDOHZ SOFIA EOOD,,UL.BRALOROSEA,8,,SOFIA,Bulgaria,36,,,,,,,,,,01/01/12,16/04/2020,,5410890,2274100
SBALIPB PROF IS KIROV EAD,,BUL.AKAE.IV.GUIA,17,,SOFIA,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,,5408322,2271493
SBALK EAD,,"['UL.GENEIRA VLADIMIR VASOV', ' 91']",,,PLEVEN,Bulgaria,36,,,,,,,,,,01/01/12,16/04/2020,,5498653,2370658
SBALK CARDIOLION OOD,,"['BUL.REPUBLIC', ' MLADOST MEDICAL CENTRE']",,,VARNA,Bulgaria,16,,,,,,,,,,01/01/12,16/04/2020,,5761782,2408658
SBALK CARDIO-POISON OOD,,UL.STEFAN STAMBOLOV,73,,BURGAS,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,,5746457,2322909
SBALK MEDIA KRAC,,COUNTED,2,,RUSE,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,,5596161,2442048
SBALB SVETI GEORGI EOOD,,BUL.ALEKSANDER STAMBOLIYSKI,,,MONTANA,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5389989,2349444
SBALO EAD,,STORAGE FIELD,6,,SOFIA,Bulgaria,242,,,,,,,,,,01/01/12,16/04/2020,,5413281,2270047
SBALO SVETI MINE,,BUL.BAA LEVSKI,62,,BLAGOEVGRAD,Bulgaria,81,,,,,,,,,,01/01/12,16/04/2020,,5402712,2194583
SBALO HASKOVO EOOD,,BUL.SINGLE,49,,HASKOVO,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,,5606313,2225468
SBALOR D-P MARCO ANTONOV MARKOV VARNA EOOD,,BUL.CAR EXEMPTED COLLECTOR,100,,VARNA,Bulgaria,139,,,,,,,,,,01/01/12,16/04/2020,,5765279,2407726
SBALOR ARC EOOD,,['J.K.LAGERA'],,,SOFIA,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,,5407379,2272081
SBALOR EOOD,,BUL.ANDREY SAKHAROV,1,,SOFIA,Bulgaria,48,,,,,,,,,,01/01/12,16/04/2020,,5414289,2269667
SGDTA OOD,,BUL.MARIA LOUISA,191,,SOFIA,Bulgaria,15,,,,,,,,,,01/01/12,16/04/2020,,5408760,2275069
SOFIA REGION EOOD,,BUL.STOLOETV,67,,SOFIA,Bulgaria,58,,,,,,,,,,01/01/12,16/04/2020,,5408449,2275118
SBALOF VITOSHA EOOD,,BUL.SIMEOZOVOCS ROAD,108B,,SOFIA,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5411527,2267678
SBALNTR EOOD,,UL.CAANCO ZERWSKI,4,,BLAGOEVGRAD,Bulgaria,41,,,,,,,,,,01/01/12,16/04/2020,,5403011,2196413
SBALPFZ BURGAS EOOD,,GUEN.GUEN.GUGU.GU.GU.GU.GEN.GU.GU.GEN.GU.GU.G@@,,,BURGAS,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,,5747599,2321735
SBALPFZ VARNA EOOD,,UL.MANUCH VOYVODA,11A,,VARNA,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,,5763278,2406625
SBALPFAA E P TRIMANN EOOD,,KUL.HIUM CARAMINOKOV,19,,VELIKO TARNOVO,Bulgaria,35,,,,,,,,,,01/01/12,16/04/2020,,5588218,2351106
SBALPFZ EOOD,,BLUEFIN,15,,PAZARDZHIK,Bulgaria,33,,,,,,,,,,01/01/12,16/04/2020,,5501850,2232747
SBALPFZ EOOD,,MR V.BOOLRECEQS,,,HASKOVO,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,,5602053,2224176
SBALPFZ RUSE EOOD,,LULE LILY,1,,RUSE,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,,5596334,2442028
SBALPFCA SOFIA REGION,,BUL.CONTROLACTIVITYA,309,,SOFIA,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,,5410300,2274624
SBALPFZ STARA ZAGORA EOOD,,UL.ARMESKA,11,,STARA ZAGORA,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,,5599631,2279773
BALPFZ VRATSA EOOD,,UL.GEN. ELONOV,93,,VRATSA,Bulgaria,80,,,,,,,,,,01/01/12,16/04/2020,,5419598,2331865
GULF OF AMERICA EKATERINA SAD,,BUL.PENCH SLAVEIKOV,52A,,SOFIA,Bulgaria,139,,,,,,,,,,01/01/12,16/04/2020,,5408958,2272026
MR DIMITAR ŠOILEV EAD,,BUL.NIKOLA GABROVSKI,1,,SOFIA,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,,5411984,2270217
SBALJVS MEDIA LTD,,COUNTED,2,,RUSE,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,,5596161,2442048
SBALHY EAD,,STORAGE FIELD,6,,SOFIA,Bulgaria,82,,,,,,,,,,01/01/12,16/04/2020,,5413281,2270047
SBR STAMBOLIYSKI EOOD,,BUL.DRNAIN,34,,STAMBOLIYSKI,Bulgaria,45,,,,,,,,,,01/01/12,16/04/2020,,5518375,2230742
SBTP IVAN REB SOPOT EOOD,,UL.3-TI MARCH 20,,,“SOPOT”,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,,5525592,2290272
RDPL MALKO EOOD,,UL.CNS BORIS,52,,MALKO TARNOVO,Bulgaria,20,,,,,,,,,,01/01/12,16/04/2020,,5763681,2265797
SBLBB ROMAN EOOD,,ULL DIMITER BLAGOEV,2,,ROMAN,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,,5449203,2332926
SBRCDES RADUNGI EOOD,,SG RADUNDS,,,RADUNTSI,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,,5592916,2307390
ESBR BOILER EOOD,,CLOSI-CLOSED,85,,BOILER,Bulgaria,55,,,,,,,,,,01/01/12,16/04/2020,,5655370,2345117
SDPLERPET EOOD,,PARAMOUNT STATES OF THE UNITED STATES,38,,LYUBIMETZ,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5649745,2225065
SBLQ BUHOVO EOOD,,"SAMPLED,  VELKO",2,,BUHOVO,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,,5427485,2284009
SBS KREMIKOVTSI EOOD,,"KC.KSIMINOWSKI,  ULA LEVSKI",2,,SOFIA,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5422344,2285688
RDPLP PERNIK EOOD,,PL,102,,PERNIK,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,,5387865,2257749
SBRLVB MEZDRA EOOD,,UL.MANDATESRIZESE,100,,MEZDRA,Bulgaria,80,,,,,,,,,,01/01/12,16/04/2020,,5432017,2326687
BULGARIAN SOFIA EOOD,,RENEWABLE,1,,SOFIA,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,,5407209,2272723
RFLQ KOSTENETS EOOD,,URBAN ROAD,56,,KOSTENETS,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5460590,2238736
SBRL PANCHAREVO EOOD,,ULVSKOG,1,,MR PANCHARIA,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,,5420023,2262380
THE WORLD FRESRPKA BULGARIAN EOOD,,IV-KM,,,VELINGRAD,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,,5476133,2209821
SCK LAZAR EOOD,,UL.D-P BAEV,15,,KAZANLAK,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5577792,2297512
SBAL VARNA EOOD,,ULVSKOG,15,,VARNA,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,,5764891,2407783
SCRIPTITLE E.P.P.KDOULOGLOU EOOD,,BUL.ЦАЧАРАЧАРОСТИ,108,,PLOVDIV,Bulgaria,135,,,,,,,,,,01/01/12,16/04/2020,,5538973,2235947
CBPPZDPQ CAR FERDINAND IEOOD,,['SG/HR'],,,THE RECYSO,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,,5400467,2304198
BTK EAD,,BUL.BAA LEVSKI,54,,SOFIA,Bulgaria,75,,,,,,,,,,01/01/12,16/04/2020,,5410156,2272483
BNRP EAD BANITE,,UL.STEFAN STAMBOLOV,2,,BANITE,Bulgaria,151,,,,,,,,,,01/01/12,16/04/2020,,5567447,2181436
BFC EAD BANKYA,,UL.XEYCEQS,8,,BANKYA,Bulgaria,75,,,,,,,,,,01/01/12,16/04/2020,,5395473,2272415
BCC BATHROOM,,UL.LES,1,,BANYA,Bulgaria,188,,,,,,,,,,01/01/12,16/04/2020,,5535048,2279514
ESBR JSC VELINGRAD,,UL.GOEDELCHEV,38,,VELINGRAD,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,,5475366,2210406
BSO NRIC KJUSTENDIL,,UL.CAR SIMEO28,,,KYUSTENDIL,Bulgaria,156,,,,,,,,,,01/01/12,16/04/2020,,5365659,2219360
SBR UNDER THE MBID AISLE,,CAC.MMID AISLE,,,KOSTENETS,Bulgaria,190,,,,,,,,,,01/01/12,16/04/2020,,5460861,2241515
SHORDER NK EAD,,UL.CRPDT,2,,NARECHENSKI BATHS,Bulgaria,190,,,,,,,,,,01/01/12,16/04/2020,,5540654,2208543
SBR UNDER THE OVA-MOGILA,,SG & L MOGILA,,,SHEEP MOGILA,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,,5550309,2384208
RCC EAD PAVEL BANYA,,UL.FREEZENDIX,2,,PAVEL BATH,Bulgaria,224,,,,,,,,,,01/01/12,16/04/2020,,5563711,2292267
NVZ EAD POMORIE,,BUL.P.STOYANOV,7,,POMORIE,Bulgaria,180,,,,,,,,,,01/01/12,16/04/2020,,5758887,2331713
BSGR EAD SANDANSKI,,['1'],,,SANDANSKI,Bulgaria,180,,,,,,,,,,01/01/12,16/04/2020,,5426790,2150618
THE SBR OF THE CRIMINAL CODE,,PARK AREA,,,VARSHETS,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,,5397454,2326634
BUCR EAD HICAR,,UL.GENEAR GURKO,2,,HISARYA,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,,5525592,2273160
BSGMS BOURGASSKI HEAD,,UL.IV.BOOROV,19,,BURGAS,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,,5738165,2332090
SGMS VARNA AD,,['K.K.ZLATARY SANDS'],,,VARNA,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,,5773003,2414861
BR HEALTH SAD,,— GEORGI SAWA RAKOVSKI,15,,BANKYA,Bulgaria,300,,,,,,,,,,01/01/12,16/04/2020,,5395147,2272377
SBR MARIE EOOD,,FRESEBER,,,NESSEBAR,Bulgaria,73,,,,,,,,,,01/01/12,16/04/2020,,5761089,2342388
BIR MARIKACINE EOOD,,C.MARCYINCEINCEMENT,,,MR MARICASTINCEMENT,Bulgaria,114,,,,,,,,,,01/01/12,16/04/2020,,5433992,2135227
SBR SAPAREVA BATH AD,,UL.SERAFOSED YORDANOV,1,,SAPAREVA BATH,Bulgaria,200,,,,,,,,,,01/01/12,16/04/2020,,5411561,2228082
SBR STTANKOV AND LAST NAME OF THE EOOD FAMILY,,['K.C.HP'],,,NESSEBAR,Bulgaria,126,,,,,,,,,,01/01/12,16/04/2020,,5761704,2346022
WWS EOOD,,TUZATA,,,BALCHIK,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5784874,2433886
SBRHON OOD,,ULL,1,,WATERFRONT WATER,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,,5592479,2329434
SALLE BURGAS OOD,,"G.K.P.M.SLAVIKOV,  UL.GEORGI MINKOV",174,,BURGAS,Bulgaria,13,,,,,,,,,,01/01/12,16/04/2020,,5745588,2323307
MR SULLE AKAE.PACHEV OOD,,MR UL.EMANWIL VASSKIDCOVIC,51,,SOFIA,Bulgaria,14,,,,,,,,,,01/01/12,16/04/2020,,5413275,2274698
MR SKOBAL BUL-REO EAD,,BUL.NIKOLA PETROV,56,,SOFIA,Bulgaria,25,,,,,,,,,,01/01/12,16/04/2020,,5403992,2270133
SNELE WARRIAN OOD,,L.VULAR GRIGOROVICH,8,,SOFIA,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,,5408360,2272298
MR SOBIL VISAS OOD,,UL.NIF POPJORDANIAN,18,,SOFIA,Bulgaria,11,,,,,,,,,,01/01/12,16/04/2020,,5404296,2269545
STOBAL DOVE. MR GEORGIEV EOOD,,HILWTO POPOVICH,18,,VARNA,Bulgaria,15,,,,,,,,,,01/01/12,16/04/2020,,5764661,2406734
COBAL D-P TASKOV LTD,,UL.ALEKSANDER STAMBOLIYSKI,25,,TARGOVISHTE,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5657183,2386070
SKOBIL LUXOR EOOD,,BUL.BULGARIA,47A,,PLOVDIV,Bulgaria,12,,,,,,,,,,01/01/12,16/04/2020,,5534697,2236351
SOBAL-BALHUMAN,,UL.TRAYCHO QUETANCHEV,10,,VRATSA,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,,5418822,2332569
BALO MEDIA OOD,,UL.COLOHEVER,,,PLOVDIV,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5533396,2232549
FVO AMBROME PARTNER OOD,,UL.XADN DIMITAR,68,,GR. SLIVEN,Bulgaria,21,,,,,,,,,,01/01/12,16/04/2020,,5652286,2319004
CIBAL ELIN PELIN OOD,,UL.HEALTH,17,,ELIN PELIN,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5432641,2273959
CDBAL MEDIA ALFA EOOD,,KUL.VELICAN TARNOVO,21,,PLOVDIV,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5535554,2234459
FVO MEDIKUS OOD,,TAIWAN,43,,RUSE,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,,5595731,2440881
СЛОВИ ПЛОВИ ПАПОВ ООД,,VPR,16,,TARGOVISHTE,Bulgaria,31,,,,,,,,,,01/01/12,16/04/2020,,5657967,2385231
TEMELKOV OOD,,UL.ALEKO KONSTANTINOV,5,,VARNA,Bulgaria,20,,,,,,,,,,01/01/12,16/04/2020,,5764503,2407020
FVO,,C. BY-CATCHES,12A,,STARA ZAGORA,Bulgaria,10,,,,,,,,,,01/01/12,16/04/2020,,5600949,2280017
SKINC SYSTEM EOOD,,ULL,32,,MR DOGOANCES,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,,5440372,2271792
UB TO THE COUNCIL OF MINISTERS LOZENETZ,,"/LOZENETZ,  UL.KOZAK",1,,SOFIA,Bulgaria,154,,,,,,,,,,01/01/12,16/04/2020,,5409324,2269667
MR UMBAL ALEKSANDROVSKA EAD,,UL.GEORGI SOFIA,1,,SOFIA,Bulgaria,860,,,,,,,,,,01/01/12,16/04/2020,,5408622,2272005
MR UMBAL D-P D. STRANDZHA EAD,,UL.GEORGI KOCHEV,8A,,PLEVEN,Bulgaria,922,,,,,,,,,,01/01/12,16/04/2020,,5500330,2371877
MR OMBAL SVETI GEORGI EAD,,BUL.PENCHEROCS ROAD,66,,PLOVDIV,Bulgaria,1345,,,,,,,,,,01/01/12,16/04/2020,,5532729,2233687
MR OMBAL SVETI IVAN RILSKI EAD,,BUL.AKE IVAN GESHOV,15,,SOFIA,Bulgaria,263,,,,,,,,,,01/01/12,16/04/2020,,5408237,2271616
УВАЖАЕМА ГОСПОДИЕ,,UL.BRALOROSEA,8,,SOFIA,Bulgaria,429,,,,,,,,,,01/01/12,16/04/2020,,5410900,2274144
