Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
JŪRMALA,2901902800,"Jūrmalas pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67733129,piizvanins@edu.jurmala.lv,"LĪBIEŠU IELA 19, JŪRMALA, LV-2016",OKSANA POLDSEPA,61,55
JŪRMALA,2901903364,"Jūrmalas pirmsskolas izglītības iestāde ""Taurenītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67811170,ssktaurenitis@edu.jurmala.lv,"KĻAVU IELA 29/31, JŪRMALA, LV-2015",ĒVA KRĒSLA,111,51
JŪRMALA,2901903409,"Jūrmalas pirmsskolas izglītības iestāde ""PODZIŅA""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67736011,piipodzina@edu.jurmala.lv,"LĪBIEŠU IELA 21, JŪRMALA, LV-2016",ANITA AUZIŅA,25,35
KANDAVAS NOVADS,4301901616,"Kandavas pilsētas pirmsskolas izglītības iestāde ""Zīļuks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63182061,pii.ziluks@inbox.lv,"RAIŅA IELA 14, KANDAVA, KANDAVAS NOVADS, LV-3120",DINA TAURIŅA,122,76
KĀRSAVAS NOVADS,4201900491,"Malnavas pagasta pirmsskolas izglītības iestāde ""Sienāzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,20223853,malnavas.pii@karsava.lv,"JAUNĀ IELA 1, MALNAVA, MALNAVAS PAGASTS, KĀRSAVAS NOVADS, LV-5750",JANĪNA ŅUKŠA,34,27
KĀRSAVAS NOVADS,4201900493,Kārsavas pilsētas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65733169,karsavas.pii@karsava.lv,"MALNAVAS IELA 5, KĀRSAVA, KĀRSAVAS NOVADS, LV-5717",INĀRA LAGANOVSKA,42,23
KOCĒNU NOVADS,4401901991,"Kocēnu novada pirmsskolas izglītības iestāde ""Auseklītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64229266,auseklitis@kocenunovads.lv,"KALNA IELA 2, KOCĒNI, KOCĒNU PAGASTS, KOCĒNU NOVADS, LV-4220",SANDRA GRĪNLIŅA,170,93
KOKNESES NOVADS,4501901608,"Bebru pagasta pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65164242,piibitite@koknese.lv,"""Bērnudārzs"", VECBEBRI, BEBRU PAGASTS, KOKNESES NOVADS, LV-5135",JUSTĪNE MIEZĪTE,38,32
KOKNESES NOVADS,4501901716,"Kokneses novada pirmsskolas izglītības iestāde ""Gundega""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26363672,piigundega@koknese.lv,"LĀČPLĒŠA IELA 7, KOKNESE, KOKNESES PAGASTS, KOKNESES NOVADS, LV-5113",RITA GABALIŅA,100,83
KRĀSLAVAS NOVADS,4201900582,"Krāslavas novada pirmsskolas izglītības iestāde ""Pīlādzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65622249,piladzitis@kraslava.lv,"ARONSONA IELA 1, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601",SVETLANA RUKMANE,109,79
KRĀSLAVAS NOVADS,4201900584,"Krāslavas pirmsskolas izglītības iestāde ""Pienenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65622582, 65622692",olehvik@inbox.lv,"EZERA IELA 15, KRĀSLAVA, KRĀSLAVAS NOVADS, LV-5601",VIKTORIJA OLEHNO,125,92
KRIMULDAS NOVADS,4301902028,"Pirmsskolas izglītības iestāde ""Krimulda""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67978394,pii.krimulda@krimulda.lv,"PARKA IELA 2, RAGANA, KRIMULDAS PAGASTS, KRIMULDAS NOVADS, LV-2144",,87,56
KRIMULDAS NOVADS,4301902037,"Pirmsskolas izglītības iestāde ""Ezerciems""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25133592,pii.ezerciems@krimulda.lv,"STRAUPES IELA 4, INCIEMS, KRIMULDAS PAGASTS, KRIMULDAS NOVADS, LV-2145",KARĪNA PUTNIŅA,36,35
KULDĪGAS NOVADS,4101802887,"Privātā pirmsskolas izglītības iestāde ""Mazo bērnu skola""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29555057,kuldigasmantojums@gmail.com,"KAĻĶU IELA 33, KULDĪGA, KULDĪGAS NOVADS, LV-3301",,23,17
KULDĪGAS NOVADS,4101901321,"Kuldīgas pirmsskolas izglītības iestāde ""Ābelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63322510,bd.abelite@kuldiga.lv,"ZIEDU IELA 15, KULDĪGA, KULDĪGAS NOVADS, LV-3301",RUTA ZIEMELE,188,120
KULDĪGAS NOVADS,4101901424,"Kuldīgas pirmsskolas izglītības iestāde ""Cīrulītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63324944,bd.cirulitis@kuldiga.lv,"PĻAVAS IELA 11, KULDĪGA, KULDĪGAS NOVADS, LV-3301",INGUNA KREBSE,179,91
KULDĪGAS NOVADS,4101903272,"Kuldīgas novada pašvaldības pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63320467,bd.bitite@kuldiga.lv,"PARKA IELA 22, KULDĪGA, KULDĪGAS NOVADS, LV-3301",LĪGA MEGNE,103,135
ĶEGUMA NOVADS,4301901456,"Ķeguma novada Vispārējā pirmsskolas izglītības iestāde ""Gaismiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65038552,gaismina@kegums.lv,"KOMUNĀLĀ IELA 7, ĶEGUMS, ĶEGUMA NOVADS, LV-5020",MĀRA ANDERSONE,141,83
ĶEGUMA NOVADS,4301901459,"Ķeguma novada Birzgales Vispārējā pirmsskolas izglītības iestāde ""Birztaliņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65034101,birztalina@kegums.lv,"JAUNATNES IELA 2, BIRZGALE, BIRZGALES PAGASTS, ĶEGUMA NOVADS, LV-5033",ANITA SKOSA,42,21
ĶEKAVAS NOVADS,3801802827,"Privātā pirmsskolas izglītības iestāde ""BeBelv""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,2700097022326690,bebe@bebe.lv,"GAISMAS IELA 19 k-4, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123",EGIJA POSSE-APSĪTE,132,54
ĶEKAVAS NOVADS,4301802905,"Privātā pirmsskolas izglītības iestāde ""Zemene""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"27729222, 26552089",info.lasite@inbox.lv,"SMILŠU IELA 9 k-2 - 59, BALOŽI, ĶEKAVAS NOVADS, LV-2112",ELIZABETE VEIKŠA,24,0
ĶEKAVAS NOVADS,4301803115,"Privātā pirmsskolas izglītības iestāde ""Otiņš""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,22116132,otinsppii@gmail.com,"BEINĀRA IELA 2B, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123",,24,0
ĶEKAVAS NOVADS,4301803337,"Pirmsskolas izglītības iestāde ""Mazie brīnumi""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26476284,maziebrinumi@gmail.com,"RĪGAS IELA 2, BALOŽI, ĶEKAVAS NOVADS, LV-2112",SANITA JURŠEVICA,21,1
ĶEKAVAS NOVADS,4301901831,"Ķekavas novada pašvaldības pirmsskolas izglītības iestāde ""Avotiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67917719, 28352663",avotins@kekava.lv,"JAUNATNES IELA 3, BALOŽI, ĶEKAVAS NOVADS, LV-2112",BAIBA JURISONE,119,226
ĶEKAVAS NOVADS,4301902002,"Ķekavas novada pašvaldības pirmsskolas izglītības iestāde ""Ieviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67937033,ievina@kekava.lv,"GAISMAS IELA 25, ĶEKAVA, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123",BIRUTA JOKSTE,121,182
ĶEKAVAS NOVADS,4301902003,"Ķekavas novada pašvaldības pirmsskolas izglītības iestāde ""Zvaigznīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67620496, 67620284, 28370751",maijaukstina@inbox.lv,"JAUNATNES IELA 2, VALDLAUČI, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-1076",MAIJA UKSTIŅA,116,159
ĶEKAVAS NOVADS,4301902814,"Ķekavas novada pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29469781,bitite@kekava.lv,"Kazeņu iela 2, KATLAKALNS, ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2111",INESE SLOKA,99,165
LIELVĀRDES NOVADS,4301901448,"Lielvārdes novada pašvaldības Vispārējā pirmsskolas izglītības iestāde ""Pūt vējiņi""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65054350,putvejini@lielvarde.lv,"UPES IELA 3a, LIELVĀRDE, LIELVĀRDES NOVADS, LV-5070",INGŪNA DAKSTIŅA,185,136
LIEPĀJA,3001802801,"Privātā pirmsskolas izglītības iestāde ""Sirsniņskola""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29353314,info@sirsninskola.lv,"GANĪBU IELA 118/120, LIEPĀJA, LV-3401",MĀRTIŅŠ ŪDRIS,22,0
LIEPĀJA,3001803129,"Privātā pirmsskolas izglītības iestāde ""Pikucis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26486946,pii.pikucis@gmail.com,"ALEJAS IELA 13 - 4, LIEPĀJA, LV-3401",SVETLANA SKRĪVERE,75,15
LIEPĀJA,3001901775,"Liepājas pirmsskolas izglītības iestāde ""Stārķis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63442674, 63442726",starkis@liepaja.edu.lv,"STĀRĶU IELA 30, LIEPĀJA, LV-3405",ANNA KOLIŠKINA,111,125
LIEPĀJA,3001901776,"Liepājas pirmsskolas izglītības iestāde ""Delfīns""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63442776,delfins@liepaja.edu.lv,"ELIZABETES IELA 4, LIEPĀJA, LV-3405",NORA STRODE,126,125
LIEPĀJA,3001901777,"Liepājas pirmsskolas izglītības iestāde ""Mazulītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63436131,mazulitis@liepaja.edu.lv,"DUNIKAS IELA 17, LIEPĀJA, LV-3407",ILONA KORJAGINA,125,110
LIEPĀJA,3001901778,"Liepājas pirmsskolas izglītības iestāde ""Zīļuks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,634 41 858,ziluks@liepaja.edu.lv,"GRĪZUPES IELA 29, LIEPĀJA, LV-3414",DACE CIGANOVA,121,79
LIEPĀJA,3001901779,"Liepājas pirmsskolas izglītības iestāde ""Dzintariņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63433518,dzintarins@liepaja.edu.lv,"DZINTARU IELA 90, LIEPĀJA, LV-3416",MAIJA KORŅĒJEVA,115,112
LIEPĀJA,3001901780,"Liepājas pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63434098,pasacina@liepaja.edu.lv,"KLAIPĒDAS IELA 65/67, LIEPĀJA, LV-3416",ZANE ZĀLĪTE,115,123
LIEPĀJA,3001901781,"Liepājas pirmsskolas izglītības iestāde ""Rūķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63429092,rukitis@liepaja.edu.lv,"APŠU IELA 6, LIEPĀJA, LV-3401",GUNA KADIĶE,54,60
LIEPĀJA,3001901782,"Liepājas pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,6343183327899820,saulite@liepaja.edu.lv,"GANĪBU IELA 122/128, LIEPĀJA, LV-3411",DINA JAUNZEME,181,192
LIEPĀJA,3001901812,"Liepājas pirmsskolas izglītības iestāde ""Liesmiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63488096,liesmina@liepaja.edu.lv,"STRAZDU IELA 6, LIEPĀJA, LV-3405",NADEŽDA KOVAĻSKA,81,46
LIEPĀJA,3001901813,"Liepājas pirmsskolas izglītības iestāde ""Liepiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63426064,liepina@liepaja.edu.lv,"BĀRIŅU IELA 35a, LIEPĀJA, LV-3401",AGNESE VERBELE,90,130
LIEPĀJA,3001901816,"Liepājas pirmsskolas izglītības iestāde ""Gailītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63422706,gailitis@liepaja.edu.lv,"MUITAS IELA 3, LIEPĀJA, LV-3401",EVIJA HARMSONE,46,36
LIEPĀJA,3001901817,"Liepājas pirmsskolas izglītības iestāde ""Pienenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63457250,pienenite@liepaja.edu.lv,"PULKVEŽA BRIEŽA IELA 10A, LIEPĀJA, LV-3414",ZANE GĀLIŅA,106,47
LIEPĀJA,3001901818,"Liepājas pirmsskolas izglītības iestāde ""Kāpēcītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63433701,kapecitis@liepaja.edu.lv,"MIERA IELA 40/42, LIEPĀJA, LV-3411",DAIGA ŠKUBERTE,75,43
LIEPĀJA,3001901819,"Liepājas pirmsskolas izglītības iestāde ""Pūcīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63422053, 27899829",pucite@liepaja.edu.lv,"BĀRIŅU IELA 32A, LIEPĀJA, LV-3401",INGŪNA ĶIRSE,60,65
LIEPĀJA,3001901820,"Liepājas pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63425384,spriditis@liepaja.edu.lv,"DĀRZA IELA 42, LIEPĀJA, LV-3401",LIGITA KLEINŠMITE,72,48
LIEPĀJA,3001901822,"Liepājas pirmsskolas izglītības iestāde ""Margrietiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63441168, 27899833",margrietina@liepaja.edu.lv,"SIĻĶU IELA 16A, LIEPĀJA, LV-3405",ILONA PALMA-TRUMARE,74,46
LIEPĀJA,3001902663,"Liepājas pirmsskolas izglītības iestāde ""Sauleszaķis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63483414,sauleszakis@liepaja.edu.lv,"OSKARA KALPAKA IELA 58, LIEPĀJA, LV-3405",LIENE PĒTERSONE,76,44
LIEPĀJA,3001902785,Liepājas Kristīgā pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63441699,kristigais@liepaja.edu.lv,"CELMU IELA 4, LIEPĀJA, LV-3405",INGA VEIĶENIECE,103,94
LIEPĀJA,3001903347,"Liepājas pirmsskolas izglītības iestāde ""Gulbītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63423432,gulbitis@liepaja.edu.lv,"EVALDA RIMBENIEKA IELA 1, LIEPĀJA, LV-3401",TATJANA TROFIMOVA,35,48
LIEPĀJA,3001903348,"Liepājas pirmsskolas izglītības iestāde ""Kriksītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63426389,kriksitis@liepaja.edu.lv,"EDUARDA VEIDENBAUMA IELA 16, LIEPĀJA, LV-3401",ANDA LANKA,14,27
LIMBAŽU NOVADS,4301900534,"Limbažu pilsētas 1. pirmsskolas izglītības iestāde ""Buratīno""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26533519,limbazu_1pii@limbazi.lv,"PARKA IELA 5, LIMBAŽI, LIMBAŽU NOVADS, LV-4001",INĀRA EŅĢELE,93,69
LIMBAŽU NOVADS,4301900535,"Limbažu pilsētas 2. pirmsskolas izglītība iestāde ""Kāpēcītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64070753,limbazu_2pii@limbazi.lv,"ZĀLES IELA 6, LIMBAŽI, LIMBAŽU NOVADS, LV-4001",JĀNIS BUMBURS,57,49
LIMBAŽU NOVADS,4301900536,"Limbažu pilsētas 3. pirmsskolas izglītības iestāde ""Spārīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64070764.2644974,limbazu_3pii@limbazi.lv,"DĀRZA IELA 24, LIMBAŽI, LIMBAŽU NOVADS, LV-4001",RAMONA PENKA,123,82
LIMBAŽU NOVADS,4301902436,Ozolaines pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64022139, 27863114",ozolainespii@inbox.lv,"ĀBEĻU IELA 4, OZOLAINE, LIMBAŽU PAGASTS, LIMBAŽU NOVADS, LV-4011",ZINTA SKRASTIŅA,42,39
LIMBAŽU NOVADS,4301902921,"Skultes pirmsskolas izglītības iestāde ""Aģupīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64065267,skultes_pii@limbazi.lv,"Skultes pirmsskolas izglītības iestāde “Aģupīte”, MANDEGAS, SKULTES PAGASTS, LIMBAŽU NOVADS, LV-4025",MAIJA SILIŅA,53,37
LĪGATNES NOVADS,4401903276,Līgatnes pilsētas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25767760,bernudarzsligatne@ligatne.lv,"GAUJAS IELA 7, LĪGATNE, LĪGATNES NOVADS, LV-4110",ZANE KARRO,29,25
LĪGATNES NOVADS,4401903277,"Augšlīgatnes pirmsskolas izglītības iestāde ""Zvaniņi""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,28661216,bernudarzs@ligatne.lv,"SPORTA IELA 14, AUGŠLĪGATNE, LĪGATNES PAGASTS, LĪGATNES NOVADS, LV-4108",GUNITA LIEPIŅA,67,48
LĪVĀNU NOVADS,4201900532,"Līvānu novada pirmsskolas izglītības iestāde ""Rūķīši""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65307155,rukisi@livani.lv,"RĪGAS IELA 13, LĪVĀNI, LĪVĀNU NOVADS, LV-5316",AIJA GRUGULE,171,119
LUBĀNAS NOVADS,4401900092,"Lubānas pirmsskolas izglītības iestāde ""Rūķīši""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64807532,rukisi@lubana.lv,"BRĪVĪBAS IELA 17, LUBĀNA, LUBĀNAS NOVADS, LV-4830",ASTRĪDA SOMA,52,32
LUDZAS NOVADS,4201900465,Briģu pagasta pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65729829,brigi.pii@ludza.lv,"SKOLAS IELA 4, BRIGI, BRIĢU PAGASTS, LUDZAS NOVADS, LV-5707",VALENTĪNA MATJUŠENOKA,16,17
LUDZAS NOVADS,4201900482,Istras pagasta pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65729587,istra.pii@ludza.lv,"""Bērnu dārzs"", VECSLABADA, ISTRAS PAGASTS, LUDZAS NOVADS, LV-5748",RAISA VEIKŠANE,10,4
LUDZAS NOVADS,4201900489,Pildas pagasta pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65751283,pilda.pii@ludza.lv,"LIEPU IELA 18, PILDA, PILDAS PAGASTS, LUDZAS NOVADS, LV-5733",NATĀLIJA DERGAČEVA,13,13
LUDZAS NOVADS,4201900494,"Ludzas pilsētas 4. pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65722734,pasacina@ludza.lv,"LATGALES IELA 156, LUDZA, LUDZAS NOVADS, LV-5701",DIĀNA GOLUBEVA,120,70
LUDZAS NOVADS,4201900495,"Ludzas pilsētas 3. pirmsskolas izglītības iestāde ""Namiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65722081,namins@ludza.lv,"LATGALES IELA 94, LUDZA, LUDZAS NOVADS, LV-5701",INGA LOSEVIČA,76,43
LUDZAS NOVADS,4201903406,"Ludzas pilsētas pirmsskolas izglītības iestāde ""Rūķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65722735,rukitis@ludza.lv,"P. MIGLINĪKA IELA 25, LUDZA, LUDZAS NOVADS, LV-5701",INGRĪDA PAŠKEVIČA,39,41
MADONAS NOVADS,4401900083,"Aronas pagasta pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,22041408,spriditis@madona.lv,"MELIORATORU IELA 3, KUSA, ARONAS PAGASTS, MADONAS NOVADS, LV-4847",SILVIJA ČURKSTE,23,13
MADONAS NOVADS,4401900085,"Bērzaunes pagasta pirmsskolas izglītības iestāde ""Vārpiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"26172332, 20372029",berzaune.varpina@madona.lv,"ARONAS IELA 6, SAULESKALNS, BĒRZAUNES PAGASTS, MADONAS NOVADS, LV-4853",AGRITA PLĀTE,33,38
MADONAS NOVADS,4401900087,"Dzelzavas pagasta pirmsskolas izglītības iestāde ""Rūķis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64829099,rukisdzelzava@madona.lv,"BĒRZU IELA 25, AIZPURVE, DZELZAVAS PAGASTS, MADONAS NOVADS, LV-4873",INITA KARLSONE,23,16
MADONAS NOVADS,4401900093,"Ļaudonas pagasta pirmsskolas izglītības iestāde ""Brīnumdārzs""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26425048,laudonapii@madona.lv,"AVOTU IELA 3, ĻAUDONA, ĻAUDONAS PAGASTS, MADONAS NOVADS, LV-4862",INĀRA KRASNOVA,30,28
MADONAS NOVADS,4401900094,"Madonas pilsētas pirmsskolas izglītības iestāde ""Kastanītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64821203,kastanitis@madona.lv,"BLAUMAŅA IELA 19, MADONA, MADONAS NOVADS, LV-4801",DACE RAUBIŠKA,58,46
MADONAS NOVADS,4401900095,"Madonas pilsētas pirmsskolas izglītības iestāde ""Priedīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64807535, 64807534",priedite@madona.lv,"VALMIERAS IELA 17, MADONA, MADONAS NOVADS, LV-4801",GITA LANCMANE,142,93
MADONAS NOVADS,4401900096,"Madonas pilsētas pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64860703, 26522313",saulite@madona.lv,"RAIŅA IELA 17, MADONA, MADONAS NOVADS, LV-4801",DAIGA ĀBOLA,175,127
MADONAS NOVADS,4401900097,"Praulienas pagasta pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,37125620771,pasacina@madona.lv,"""Pilsdārzi"", PRAULIENA, PRAULIENAS PAGASTS, MADONAS NOVADS, LV-4825",DAIGA MADERNIECE,58,53
MADONAS NOVADS,4401902626,"Kalsnavas pagasta pirmsskolas izglītības iestāde ""Lācītis Pūks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64810488,lacitispuks@madona.lv,"Dzirkstīte, AIVIEKSTE, KALSNAVAS PAGASTS, MADONAS NOVADS, LV-4860",INESE ROZENTĀLE,34,36
MAZSALACAS NOVADS,4401901990,Mazsalacas pilsētas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64251187,pirmsskola@mazsalaca.edu.lv,"PARKA IELA 14, MAZSALACA, MAZSALACAS NOVADS, LV-4215",SAIVA LIEPA,66,48
MĀLPILS NOVADS,4301901951,"Mālpils novada pirmsskolas izglītības iestāde ""Māllēpīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67925069, 67925252",piimalp@tvnet.lv,"JAUNĀ IELA 3, MĀLPILS, MĀLPILS NOVADS, LV-2152",MALDA ČELNOVA,96,78
MĀRUPES NOVADS,4301802840,"Privātā pirmsskolas izglītības iestāde ""Bērnu attīstības centrs ""Pīlīte""""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29332023,pilite_bc@inbox.lv,"MEIJU IELA 4, MĀRUPE, MĀRUPES NOVADS, LV-2167",,24,0
MĀRUPES NOVADS,4301802855,"Privātā pirmsskolas izglītības iestāde ""Saulespuķe""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29838511,info@spuke.lv,"MAZCENU ALEJA 25 - 18, JAUNMĀRUPE, MĀRUPES NOVADS, LV-2166",SANITA MIHĒJEVA,42,7
MĀRUPES NOVADS,4301802995,"Privātā pirmsskolas izglītības iestāde ""Mikija skoliņa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29641679,mikijaskolina@mikijaskolina.lv,"MEIJU IELA 4, MĀRUPE, MĀRUPES NOVADS, LV-2167",,27,3
MĀRUPES NOVADS,4301803075,"Privātā pirmsskolas izglītības iestāde ""m""Kripatiņas""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27136686,xuanshi29@gmail.com,"MĀRAS IELA 14, MĀRUPE, MĀRUPES NOVADS, LV-2167",,48,33
