Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"Ilūkstes mūzikas un mākslas skola","4274902935","Pastarpinātās pārvaldes iestāde","ILONA LINARTE-RUŽA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Ilūkstes novada pašvaldība","Ilūkstes novada pašvaldība",Nē,"JĒKABPILS IELA 5, ILŪKSTE, ILŪKSTES NOVADS, LV-5447","65462145","muzikas.skola@ilukste.lv"
"Ilūkstes novada Sporta skola","4271902187","Pastarpinātās pārvaldes iestāde","DZINTARS PABĒRZS",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Ilūkstes novada pašvaldība","Ilūkstes novada Dome",Nē,"STADIONA IELA 1, ILŪKSTE, ILŪKSTES NOVADS, LV-5447","65462136","sporta.skola@ilukste.lv"
"Ilūkstes pirmsskolas izglītības iestāde ""Zvaniņš""","4201901864","Pastarpinātās pārvaldes iestāde","INGA ZVIEDRĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Ilūkstes novada pašvaldība","Ilūkstes novada Dome",Nē,"JĒKABPILS IELA 10A, ILŪKSTE, ILŪKSTES NOVADS, LV-5447","65462175",
"Ilūkstes Raiņa vidusskola","4213903225","Pastarpinātās pārvaldes iestāde","VELTA ŠTERNA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Ilūkstes novada pašvaldība","Ilūkstes novada pašvaldība",Nē,"RAIŅA IELA 49, ILŪKSTE, ILŪKSTES NOVADS, LV-5447","65462189, 29297586","raina.vidusskola@ilukste.lv"
"Ilzeskalna pirmsskolas izglītības iestāde","4201901566","Pastarpinātās pārvaldes iestāde",,0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Rēzeknes novada pašvaldība ","Rēzeknes novada pašvaldība ",Nē,"CENTRA IELA 4, ILZESKALNS, ILZESKALNA PAGASTS, RĒZEKNES NOVADS, LV-4619","64644563","ilzeskalnspii@saskarsme.lv"
"Iļģuciema vidusskola","3513900770","Pastarpinātās pārvaldes iestāde","IVETA TAURIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Rīgas Dome","Rīgas Dome",Nē,"DZIRCIEMA IELA 109, KURZEMES RAJONS, RĪGA, LV-1055","67469690, 67469190","icvs@riga.lv"
"Imidža skola-studija ""Unastyle""","3360800546","Komercsabiedrības struktūrvienība","UNA BERNATOVIČA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Unastyle Studio""","Sabiedrība ar ierobežotu atbildību ""Unastyle Studio""",Nē,"VALTAIĶU IELA 9, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1029","67286036, 29131362, 28601238","una@unastyle.lv"
"Inčukalna novada Mūzikas un mākslas skola","4374902278","Pastarpinātās pārvaldes iestāde","IEVA KIKUSTE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Inčukalna novada Dome","Inčukalna novada Dome",Nē,"GAUJAS IELA 2, VANGAŽI, INČUKALNA NOVADS, LV-2136","66958609","skola.mms@incukalns.lv"
"Inčukalna novada pirmsskolas izglītības iestāde ""Minka""","4301901884","Pastarpinātās pārvaldes iestāde","RITA GALIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Inčukalna novada Dome","Inčukalna novada Dome",Nē,"ZVAIGŽŅU IELA 6, INČUKALNS, INČUKALNA PAGASTS, INČUKALNA NOVADS, LV-2141","67977395","minka.pii@incukalns.lv"
"Inčukalna novada Vangažu pirmsskolas izglītības iestāde ""Jancis""","4301901909","Pastarpinātās pārvaldes iestāde","KADRIJA JANISELE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Inčukalna novada Dome","Inčukalna novada Dome",Nē,"SMILŠU IELA 2, VANGAŽI, INČUKALNA NOVADS, LV-2136","67995292","pii_jancis@incukalns.lv"
"Inčukalna pamatskola","4312901339","Pastarpinātās pārvaldes iestāde","AGNESE KALNIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Inčukalna novada Dome","Inčukalna novada Dome",Nē,"ZVAIGŽŅU IELA 2, INČUKALNS, INČUKALNA PAGASTS, INČUKALNA NOVADS, LV-2141","67977275, 67977650, 67977176","incukaln@latnet.lv"
"Indras Mākslas un mūzikas skola","4274902148","Pastarpinātās pārvaldes iestāde","ĒRIKA ZAROVSKA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Krāslavas novada Dome","Krāslavas novada Dome",Nē,"KRĀSLAVAS IELA 1, INDRA, INDRAS PAGASTS, KRĀSLAVAS NOVADS, LV-5664","26604876","indramaksla@kraslava.lv"
"Indras pamatskola","4212903083","Pastarpinātās pārvaldes iestāde","INGA JĀKOBSONE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Krāslavas novada Dome","Krāslavas novada Dome",Nē,"SKOLAS IELA 1, INDRA, INDRAS PAGASTS, KRĀSLAVAS NOVADS, LV-5664","65625287, 26194279","indras.vsk@inbox.lv"
"Informācijas sistēmu menedžmenta augstskola","3343800183","Komercsabiedrība","DENISS DJAKONS",2,0,"Augstākās izglītības iestāde","Augstskola","Informācijas sistēmu menedžmenta augstskola","Informācijas sistēmu menedžmenta augstskola",Nē,"LOMONOSOVA IELA 1 k-6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","67100607, 67100549","isma@isma.lv"
"Informācijas sistēmu menedžmenta augstskolas Latgales filiāle","2744802395","Komercsabiedrības struktūrvienība",,0,0,"Augstākās izglītības iestāde","Latvijas augstskolas filiāle","Informācijas sistēmu menedžmenta augstskola","Informācijas sistēmu menedžmenta augstskola",Nē,"KANDAVAS IELA 17, DAUGAVPILS, LV-5401","67114519 ","inta.lacite@isma.lv"
"Informācijas sistēmu menedžmenta augstskolas Ventspils filiāle","3244802255","Komercsabiedrības struktūrvienība",,0,0,"Augstākās izglītības iestāde","Latvijas augstskolas filiāle","Informācijas sistēmu menedžmenta augstskola","Informācijas sistēmu menedžmenta augstskola",Nē,"FABRIKAS IELA 6, VENTSPILS, LV-3600","63663276, 63662737","isma@isma.lv"
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""","3613801080","Komercsabiedrības struktūrvienība","INGA BRIČINSKA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Akciju sabiedrība ""Izglītības Nams""","Akciju sabiedrība ""Izglītības Nams""",Nē,"LOMONOSOVA IELA 1 k-6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","67218501, 67218503","skola@isma.lv"
"Integratīvs bērnu izglītības un attīstības centrs ""Montessori bērnu māja""","3351802750","Biedrības struktūrvienība","KATE PELĒCE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Biedrība ""Montessori bērnu māja""","Biedrība ""Montessori bērnu māja""",Nē,"PULKVEŽA BRIEŽA IELA 4 - 1, ZIEMEĻU RAJONS, RĪGA, LV-1010","26161755","bernumaja@gmail.com"
"Interešu izglītības iestāde ""Avots""","3351803284","Biedrības struktūrvienība","MUDĪTE REDISA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Biedrība ""Kultūras, mākslas un izglītības centrs ArtLab""","Biedrība ""Kultūras, mākslas un izglītības centrs ArtLab""",Nē,"MASKAVAS IELA 260, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","26130586","artlab.biedriba@gmail.com"
"Interešu izglītības iestāde ""BCI Akadēmija""","3151803418","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""Baltic Centre International""","SIA ""Baltic Centre International""",Nē,"ATBRĪVOŠANAS ALEJA 121 - 3, RĒZEKNE, LV-4601","+37122385622",
"Interešu izglītības iestāde ""Bērnu centrs KĀ MĀJĀS""","4351803287","Komercsabiedrības struktūrvienība","IEVA ERCMANE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""Bērnu centrs""","SIA ""Bērnu centrs""",Nē,"PĒRLES IELA 11, SIGULDA, SIGULDAS NOVADS, LV-2150","29398553","info@bckamajas.lv"
"Interešu izglītības iestāde ""Bērnu un jauniešu jūrniecības skola""","3351803071","Biedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Biedrība ""PILSĒTAS JAHTKLUBS""","Biedrība ""PILSĒTAS JAHTKLUBS""",Nē,"MĀRKALNES IELA 24, RĪGA, LV-1024","26565290","pilsetasjahtklubs@gmail.com"
"Interešu izglītības iestāde ""Centrs Dardedze""","3351803151","Nodibinājuma struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","nodibinājums ""Centrs Dardedze""","nodibinājums ""Centrs Dardedze""",Nē,"CIECERES IELA 3A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","67600685","info@centrsdardedze.lv"
"Interešu izglītības iestāde ""DIVAS PELES""","3351802817","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""DIVAS PELES""","Sabiedrība ar ierobežotu atbildību ""DIVAS PELES""",Nē,"APUZES IELA 34, RĪGA, LV-1046","29554666","divas_peles@inbox.lv"
"Interešu izglītības iestāde ""Dziesmu skola""","4151803144","Komercsabiedrība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Dziesmu skola""","Sabiedrība ar ierobežotu atbildību ""Dziesmu skola""",Nē,"ANDREJA PUMPURA IELA 2 - 24, TALSI, TALSU NOVADS, LV-3201","26434394","dziesmuskola@gmail.com"
"Interešu izglītības iestāde ""Etiķetes skola""","3351803230","Komercsabiedrības struktūrvienība","VITA KUČERENKO",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""METROMODELS""","SIA ""METROMODELS""",Nē,"STABU IELA 19 - 4, CENTRA RAJONS, RĪGA, LV-1011","28265191","vita@metromodels.lv"
"Interešu izglītības iestāde ""Ikšķiles Brīvā skola""","4351803085","Biedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Biedrība ""Ikšķiles Brīvā skola""","Biedrība ""Ikšķiles Brīvā skola""",Nē,"RĪGAS IELA 175, IKŠĶILE, IKŠĶILES NOVADS, LV-5052","29267825, 29299668","info@brivaskola.lv"
"Interešu izglītības iestāde ""Jaunrades skola""","3351803064","Komercsabiedrības struktūrvienība","ARNOLDS ZIEMELIS",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Vi long""","Sabiedrība ar ierobežotu atbildību ""Vi long""",Nē,"ĢERTRŪDES IELA 19/21 - 31, RĪGA, LV-1011","27443757, 27633569","arnoldsziemelis@inbox.lv"
"Interešu izglītības iestāde ""Kiddyenglish""","3351802987","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Kiddyenglish""","Sabiedrība ar ierobežotu atbildību ""Kiddyenglish""",Nē,"ĢERTRŪDES IELA 121A - 33, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","29566466","info@kiddyenglish.lv"
"Interešu izglītības iestāde ""Labie Logopēdi""","3351803295","Komercsabiedrības struktūrvienība","ANITA PUTĀNE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""Labie Logopēdi""","SIA ""Labie Logopēdi""",Nē,"KUĢU IELA 11 - 3, KURZEMES RAJONS, RĪGA, LV-1048","24449992","labielogopedi@gmail.com"
"Interešu izglītības iestāde ""Laimes kalve""","3351803159","Biedrības struktūrvienība","ILZE APŠA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","""LAIMES KALVE""","""LAIMES KALVE""",Nē,"DAGMĀRAS IELA 4 - 31, KURZEMES RAJONS, RĪGA, LV-1007","29105585, 22572254","laimeskalve.birojs@gmail.com"
"Interešu izglītības iestāde ""Lielvārdi""","4351803198","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Lielvārds""","Sabiedrība ar ierobežotu atbildību ""Lielvārds""",Nē,"SKOLAS IELA 5, LIELVĀRDE, LIELVĀRDES NOVADS, LV-5070","22011333","janis@lielvardi.lv"
"Interešu izglītības iestāde ""Lūsis""","3351803149","Biedrības struktūrvienība","LINDA LOCE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Mūžizglītības un kultūras institūts ""Vitae""","Mūžizglītības un kultūras institūts ""Vitae""",Nē,"KVĒLES IELA 64, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064","29179865","rolands.ozols@gmail.com"
"Interešu izglītības iestāde ""Mācies IT""","3351803212","Komercsabiedrības struktūrvienība","AGNESE KRAMĒNA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Learn IT""","Sabiedrība ar ierobežotu atbildību ""Learn IT""",Nē,"DAUGUĻU IELA 41, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","26746546","Elina.Ingelande@learnit.lv"
"Interešu izglītības iestāde ""Mazā Brīnumzeme""","4351803285","Komercsabiedrības struktūrvienība","KRISTĪNA SPRŪDŽA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Mazā Brīnumzeme""","Sabiedrība ar ierobežotu atbildību ""Mazā Brīnumzeme""",Nē,"PUĶU IELA 2, SIGULDA, SIGULDAS NOVADS, LV-2150","28308377","kristina.sprudza@gmail.com"
"Interešu izglītības iestāde ""Minusas volejbola skola""","3351803338","Biedrības struktūrvienība","INGUNA MINUSA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Biedrība ""Minusas Volejbola Skola""","Biedrība ""Minusas Volejbola Skola""",Nē,"ŪNIJAS IELA 70 - 3, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","29173182","info@mvs.lv"
"Interešu izglītības iestāde ""PASSWORD""","4551803273","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""PASSWORD EDUCATION""","Sabiedrība ar ierobežotu atbildību ""PASSWORD EDUCATION""",Nē,"""Griezes"" - 4, LĪVBĒRZES PAGASTS, JELGAVAS NOVADS, LV-3003","27893898",
"Interešu izglītības iestāde ""Personības pilnveides centrs ""Mājskola""""","3351803175","Biedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","""Kultūras atbalsta Biedrība""","""Kultūras atbalsta Biedrība""",Nē,"JELGAVAS IELA 19 - 9, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","25878779",
"Interešu izglītības iestāde ""Pirmā programmēšanas skola""","3351803278","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""Pirmā programmēšanas skola""","SIA ""Pirmā programmēšanas skola""",Nē,"DAGDAS IELA 4 - 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","+371 22 16 90 90, +371 29 88 80 52","info@pps.lv"
"Interešu izglītības iestāde ""Rīgas 1. valodu skola""","3351800827","Komercsabiedrības struktūrvienība","DIĀNA ZEPA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""RĪGAS 1. VALODU SKOLA""","Sabiedrība ar ierobežotu atbildību ""RĪGAS 1. VALODU SKOLA""",Nē,"ZEMITĀNA IELA 2B, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1012","27883535","info@vs.edu.lv"
"Interešu izglītības iestāde ""Robotikas skola""","3351803224","Komercsabiedrības struktūrvienība","FELICITA ZATLERE-KOTĀNE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""ROBO HUB""","SIA ""ROBO HUB""",Nē,"BRĪVĪBAS GATVE 224, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","29198811, 66181899","felicita@robohub.lv"
"Interešu izglītības iestāde ""Rutas skola""","3351802910","Komercsabiedrības struktūrvienība","RUTA LOČMELE-VALTERE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Remilia"", Sabiedrība ar ierobežotu atbildību ""Remilija""","Sabiedrība ar ierobežotu atbildību ""Remilia"", Sabiedrība ar ierobežotu atbildību ""Remilija""",Nē,"BRĪVĪBAS GATVE 205A - 34, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","29182287","ruta.locmele@gmail.com"
"Interešu izglītības iestāde ""Skola SoVa""","3951803045","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""DesArts""","Sabiedrība ar ierobežotu atbildību ""DesArts""",Nē,"AUGUSTA DOMBROVSKA IELA 44 - 76, ZIEMEĻU RAJONS, RĪGA, LV-1015","29186701","info@desarts.lv"
"Interešu izglītības iestāde ""SMAIDS ABC""","3351803283","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""Smaids S.U.""","SIA ""Smaids S.U.""",Nē,"ZOLITŪDES IELA 22A, KURZEMES RAJONS, RĪGA, LV-1029","67886588, 27771848","info@smaidsizglitiba.lv"
"Interešu izglītības iestāde ""SMAIDS""","3351803162","Biedrības struktūrvienība","OĻESJA PETROVA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Atbalsta centrs bērniem un jauniešiem ar ierobežotām iespējām ""SMAIDS""","Atbalsta centrs bērniem un jauniešiem ar ierobežotām iespējām ""SMAIDS""",Nē,"ZOLITŪDES IELA 22A, KURZEMES RAJONS, RĪGA, LV-1029","67886588, 27771848","bernusmaids@inbox.lv"
"Interešu izglītības iestāde ""SPORT SCHOOL""","4351803073","Nodibinājuma struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Nodibinājums ""INTERNATIONAL INITIATIVES FOUNDATION""","Nodibinājums ""INTERNATIONAL INITIATIVES FOUNDATION""",Nē,"RIČU IELA 6, SIGUĻI, CARNIKAVAS NOVADS, LV-2163","29408456","info@dialogs-ab.lv"
"Interešu izglītības iestāde ""STEFANS SPORT SCHOOL""","3351803019","Komercsabiedrības struktūrvienība",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Dialogs AB""","Sabiedrība ar ierobežotu atbildību ""Dialogs AB""",Nē,"MURJĀŅU IELA 1A, RĪGA, LV-1024","29408456","info@dialogs-ab.lv"
"Interešu izglītības iestāde ""Tehniskās izglītības un jaunrades skola""","3351803209","Biedrības struktūrvienība","ANETE BENTA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Tehniskās izglītības un jaunrades skola","Tehniskās izglītības un jaunrades skola",Nē,"AUGŠIELA 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","28779480, 26559710","info@inovacijuskola.lv"
"Interešu izglītības iestāde ""Voldiņš""","3351803154","Komercsabiedrības struktūrvienība","DACE NAGLIŅA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","SIA ""ELISABETT""","SIA ""ELISABETT""",Nē,"IKŠĶILES IELA 7 - 104, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","29265311","dace.naglina@gmail.com"
"Interešu izglītības iestāde ""Zaļais Bērnudārzs""","3351802922","Komercsabiedrības struktūrvienība","RITA OŠA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Zaļais Bērnudārzs SIA","Zaļais Bērnudārzs SIA",Nē,"JĀŅA ASARA IELA 15 - 74, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","27009310","eko.bernudarzs@gmail.com"
"Interešu izglītības iestāde AO STUDIO","4351803007","Komercsabiedrības struktūrvienība","AINA OZOLIŅA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""AO STUDIO""","Sabiedrība ar ierobežotu atbildību ""AO STUDIO""",Nē,"""Čurkstes"", ĶEKAVAS PAGASTS, ĶEKAVAS NOVADS, LV-2123","67916303, 26477363","info@aostudio.lv"
"Interešu izglītības iestāde Mācību un konsultāciju centrs Piecas formulas","3251803160","Biedrības struktūrvienība","OLGA KUPŠE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Piecas izaugsmes formulas","Piecas izaugsmes formulas",Nē,"ZVAIGŽŅU IELA 34, VENTSPILS, LV-3601","20490197","5formulas@inbox.lv"
"Interešu izglītības, attīstības un atpūtas centrs ""LOGOSS PLUSS K""","3051802552","Juridiskā vai fiziskā persona ",,0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Svetlana Gorodiska","Svetlana Gorodiska",Nē,"KLAIPĒDAS IELA 70-45, LIEPĀJA, LV-3416","6092454","svetagor54@mail.ru"
"Irlavas pamatskola","4312903217","Pastarpinātās pārvaldes iestāde","AIVA PLATACE",0,2,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Tukuma novada Dome","Tukuma novada Dome",Nē,"""Irlavas skola"", IRLAVA, IRLAVAS PAGASTS, TUKUMA NOVADS, LV-3137","+31762303833, +37126559884","irlavasskola@tukums.lv"
"Istras pagasta pirmsskolas izglītības iestāde","4201900482","Pastarpinātās pārvaldes iestāde","RAISA VEIKŠANE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Ludzas novada pašvaldība","Ludzas novada pašvaldība",Nē,"""Bērnu dārzs"", VECSLABADA, ISTRAS PAGASTS, LUDZAS NOVADS, LV-5748","65729587","istra.pii@ludza.lv"
"Izglītības centrs ""Astroselena""","3360800669","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Astroselena""","Sabiedrība ar ierobežotu atbildību ""Astroselena""",Nē,"DZIRCIEMA IELA 63 - 83, RĪGA, LV-1055","29504017","astroselena@inbox.lv"
"Izglītības Centrs ""D.D.K. COMPANY""","3360800489","Fiziskas personas dibināta iestāde",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","IK ""D.D.K. COMPANY""","IK ""D.D.K. COMPANY""",Nē,"ŪNIJAS IELA 74a - 16, RĪGA, LV-1084","29713234  29664970","ddk2@inbox.lv"
"Izglītības centrs ""DERMA""","3360800522","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""ĀRSTNIECISKĀS KOSMĒTIKAS KABINETS ""DERMA""""","Sabiedrība ar ierobežotu atbildību ""ĀRSTNIECISKĀS KOSMĒTIKAS KABINETS ""DERMA""""",Nē,"AUGUSTA DEGLAVA IELA 7 - 3, RĪGA, LV-1009","7279314  29510100","derma@inbox.lv"
"Izglītības centrs ""Eiropas drošības skola""","3360800903","Komercsabiedrības struktūrvienība","ALEKSANDRS KURGANOVS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""Biznesa attīstības un drošības centrs""","SIA ""Biznesa attīstības un drošības centrs""",Nē,"FIRSA SADOVŅIKOVA IELA 39, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","20377951, 20377953","badc@inbox.lv"
"Izglītības centrs ""International Center of Education - Latvia""","3360800899","Juridiskā vai fiziskā persona ","SELASS ILJASS-MASIHS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","""FIVE RIVERS TRADING LIMITED"" filiāle Latvijā","""FIVE RIVERS TRADING LIMITED"" filiāle Latvijā",Nē,"BRĪVĪBAS IELA 137, RĪGA, LV-1012","67692999","info@icecollege.org.uk"
"Izglītības centrs ""k.Port""","4360800697","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""k.Port""","Sabiedrība ar ierobežotu atbildību ""k.Port""",Nē,"UZVARAS PROSPEKTS 17 - 64, BALOŽI, ĶEKAVAS NOVADS, LV-2128","26434314","dace.gagaine@kport.lv"
"Izglītības centrs ""LaTuana""","4380801016","Komercsabiedrības struktūrvienība",,0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""LaTuana""","Sabiedrība ar ierobežotu atbildību ""LaTuana""",Nē,"ZILOKALNU PROSPEKTS 20 - 68, OGRE, OGRES NOVADS, LV-5001","27598119","latuanainfo@gmail.com"
"Izglītības centrs ""Marica plus""","3360800530","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""ICCI""","Sabiedrība ar ierobežotu atbildību ""ICCI""",Nē,"ABAVAS IELA 21, RĪGA, LV-1004","26589079","inga_cironoka@inbox.lv"
"Izglītības centrs ""SPARNIS""","3060800876","Komercsabiedrības struktūrvienība","RAIMONDS RUBLOVSKIS",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""AKVANAVTS""","SIA ""AKVANAVTS""",Nē,"LIEDAGA IELA 5, LIEPĀJA, LV-3416","29133934","sparnis@inbox.lv"
