Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
87,CIBLAS NOVADS,4212900451,Pušmucovas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 5, PUŠMUCOVA, PUŠMUCOVAS PAGASTS, CIBLAS NOVADS, LV-5742",pusmucovas_skola@inbox.lv,65728101,AIJA JONIKĀNE,0,44
88,CIBLAS NOVADS,4213900473,Ciblas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"Ciblas vidusskola, CIBLA, CIBLAS PAGASTS, CIBLAS NOVADS, LV-5709",ciblavid@inbox.lv,65729265,SARMĪTE LEŠČINSKA,0,103
89,DAGDAS NOVADS,4211903220,Šķaunes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Skola"", ŠĶAUNE, ŠĶAUNES PAGASTS, DAGDAS NOVADS, LV-5695",skaunes.skola@inbox.lv,65628353,MARIJA ANDŽĀNE,3,18
90,DAGDAS NOVADS,4212900568,Andrupenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 6, ANDRUPENE, ANDRUPENES PAGASTS, DAGDAS NOVADS, LV-5687",andrupenesskola@inbox.lv,"65652236, 65652238",ARTŪRS BABRIS,0,50
91,DAGDAS NOVADS,4213900572,Ezernieku vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Gaismēni"", EZERNIEKI, EZERNIEKU PAGASTS, DAGDAS NOVADS, LV-5692",ezerniekuvsk@inbox.lv,"65681493, 65653274",ALEKSANDRS GŽIBOVSKIS,29,142
92,DAGDAS NOVADS,4213900573,Dagdas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MIČURINA IELA 3A, DAGDA, DAGDAS NOVADS, LV-5674",vidusskola@dagda.lv,"65681525, 65681521",VIJA GEKIŠA,0,351
93,DAGDAS NOVADS,4222900579,Aleksandrovas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Aleksandrovas skola"", ALEKSANDROVA, KONSTANTINOVAS PAGASTS, DAGDAS NOVADS, LV-5680",aleksandrova-skola@inbox.lv,65621023,ANITA MALINOVSKA,10,66
94,DAUGAVPILS,2712901237,Daugavpils Saskaņas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SAULES IELA 7, DAUGAVPILS, LV-5401",saskanas.psk@gmail.com,65425870,JEĻENA VUCĒNA,0,513
95,DAUGAVPILS,2712902175,Daugavpils 11. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ARHITEKTU IELA 10, DAUGAVPILS, LV-5410",11vsk@daugavpils.apollo.lv,"65441321, 65441303, 65441312",INA MELDERE,0,238
96,DAUGAVPILS,2712902233,Daugavpils Vienības pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ĢIMNĀZIJAS IELA 32, DAUGAVPILS, LV-5401",dvpsk@inbox.lv,65420449,EDĪTE ZDANOVSKA,0,516
97,DAUGAVPILS,2713900714,Daugavpils 10. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TAUTAS IELA 11, DAUGAVPILS, LV-5404",daug.10vsk@inbox.lv,"65432507, 65476148",VALIJA SALNA,0,584
98,DAUGAVPILS,2713901037,Daugavpils 3. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAIŅA IELA 30, DAUGAVPILS, LV-5401",daug3vsk@inbox.lv,"65423030, 65421923",VITĀLIJS AZAREVIČS,0,832
99,DAUGAVPILS,2713901135,Daugavpils 13. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VALKAS IELA 4A, DAUGAVPILS, LV-5417",d13vsk@gmail.com,"65436237, 65435028",ANDŽELA SKUTELE,0,846
100,DAUGAVPILS,2713901176,Daugavpils 15. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VALKAS IELA 4, DAUGAVPILS, LV-5417",skola@vsk15.lv,"65431227, 65434045",ANATOLIJS GRŽIBOVSKIS,0,576
101,DAUGAVPILS,2713901222,J. Raiņa Daugavpils 6. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KOMUNĀLĀ IELA 2, DAUGAVPILS, LV-5418",daug6vsk@inbox.lv,"65425312, 65421176",LARISA KOŽEVŅIKOVA,64,232
102,DAUGAVPILS,2713901229,Daugavpils Tehnoloģiju vidusskola - licejs,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TAUTAS IELA 59, DAUGAVPILS, LV-5404",licejs.dkl@apollo.lv,"65431224, 65431076",IRINA PAURA,0,740
103,DAUGAVPILS,2713901231,Daugavpils 16. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AVEŅU IELA 40, DAUGAVPILS, LV-5422",vsk16@inbox.lv,"65476141, 65476140",OLGA DUKŠINSKA,0,712
104,DAUGAVPILS,2713901235,Daugavpils 17. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VALMIERAS IELA 5, DAUGAVPILS, LV-5404",17school@inbox.lv,65432175,IVARS ŠĶINČS,0,643
105,DAUGAVPILS,2713901238,Daugavpils 9. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"18. NOVEMBRA IELA 47, DAUGAVPILS, LV-5401",9.vsk@inbox.lv,65421458,ARTURS FEDOTOVS,0,628
106,DAUGAVPILS,2713901240,Daugavpils 12. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KAUŅAS IELA 8, DAUGAVPILS, LV-5404",12vsk@daugavpils.apollo.lv,"65438952, 65438451",ELITA BOLIŅA,0,648
107,DAUGAVPILS,2713902243,Daugavpils Centra vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KANDAVAS IELA 17, DAUGAVPILS, LV-5401",info@dcv.lv,65428131 65429872,JURIJS VISOCKIS,0,613
108,DAUGAVPILS,2716901232,J.Pilsudska Daugavpils valsts poļu ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Ģimnāzija,"VARŠAVAS IELA 2, DAUGAVPILS, LV-5404",dpolvsk@apollo.lv,"65451003, 65451001",GAĻINA SMUĻKO,0,413
109,DAUGAVPILS,2719902518,Daugavpils Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"CIETOKŠŅA IELA 33, DAUGAVPILS, LV-5401",dvg@daugrc.edu.lv,26481883,OKSANA PETAŠKO,0,313
110,DAUGAVPILS,2724903240,Daugavpils Stropu pamatskola - attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"ABAVAS IELA 1, DAUGAVPILS, LV-5417",logoped@apollo.lv,"65442776, 65441740",MARIKA RAIČONOKA,54,192
111,DAUGAVPILS NOVADS,4212900498,Randenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VĀRPAS IELA 2, RANDENE, KALKŪNES PAGASTS, DAUGAVPILS NOVADS, LV-5449",skola@kalkuni.lv,65474942,LIDIJA PEIPIŅA,19,57
112,DAUGAVPILS NOVADS,4212900502,Kalupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIELĀ IELA 35, KALUPE, KALUPES PAGASTS, DAUGAVPILS NOVADS, LV-5450",skola@kalupe.lv,"20220549, 29103145",IRĒNA MUKĀNE,23,60
113,DAUGAVPILS NOVADS,4212900504,Biķernieku pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, BIĶERNIEKI, BIĶERNIEKU PAGASTS, DAUGAVPILS NOVADS, LV-5440",skola@bikerniekupag.lv,65822944,ALEKSEJS MACKEVIČS,31,56
114,DAUGAVPILS NOVADS,4212900506,Lāču pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MUZEJA IELA 2, LOCIKI, NAUJENES PAGASTS, DAUGAVPILS NOVADS, LV-5458",skola@naujene.lv,65474565,ANDRIS MEŠKOVSKIS,15,127
115,DAUGAVPILS NOVADS,4212900511,Naujenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"STACIJAS IELA 8, NAUJENE, NAUJENES PAGASTS, DAUGAVPILS NOVADS, LV-5462",pamatskola@naujene.lv,65476858,PĀVELS BROVKINS,0,88
116,DAUGAVPILS NOVADS,4212902413,Silenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 19, SILENE, SKRUDALIENAS PAGASTS, DAUGAVPILS NOVADS, LV-5470",silenes.skola@skrudaliena.lv,65439367,TATJANA KLOPOVA,16,46
117,DAUGAVPILS NOVADS,4212902988,Medumu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ALEJAS IELA 20, MEDUMI, MEDUMU PAGASTS, DAUGAVPILS NOVADS, LV-5460",skola@medumi.lv,65471555,VITA SKVORCOVA,6,42
118,DAUGAVPILS NOVADS,4212903120,Laucesas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MIERA IELA 28, MIRNIJS, LAUCESAS PAGASTS, DAUGAVPILS NOVADS, LV-5461",skola@laucese.lv,65476872,VALENTĪNA VAVŽIŅAKA,15,74
119,DAUGAVPILS NOVADS,4213900512,Salienas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"CENTRĀLES IELA 21, SALIENA, SALIENAS PAGASTS, DAUGAVPILS NOVADS, LV-5469",skola@saliena.lv,65475311,ANTOŅINA REDKOVA,25,112
120,DAUGAVPILS NOVADS,4213900514,Špoģu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ŠOSEJAS IELA 3, ŠPOĢI, VIŠĶU PAGASTS, DAUGAVPILS NOVADS, LV-5481",spogu.vidusskola@viski.lv,65426880,INĀRA ONDZULE,70,271
121,DAUGAVPILS NOVADS,4213900517,Zemgales vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"Zemgale-16, ZEMGALE, DEMENES PAGASTS, DAUGAVPILS NOVADS, LV-5442",skola@demene.lv,"65471763, 65471757",ALEKSANDRS PETKEVIČS,24,133
122,DAUGAVPILS NOVADS,4213900519,Sventes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DAUGAVPILS IELA 1a, SVENTE, SVENTES PAGASTS, DAUGAVPILS NOVADS, LV-5473",skola@svente.lv,65429688,ALEKSANDRS SIBIRCEVS,18,155
123,DAUGAVPILS NOVADS,4213901322,Vaboles vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Vidusskola"", VABOLE, VABOLES PAGASTS, DAUGAVPILS NOVADS, LV-5477",skola@vabolespag.lv,65467022,ELITA SKRUPSKA,17,101
124,DAUGAVPILS NOVADS,4222900868,Medumu speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"ILGAS IELA 15, MEDUMI, MEDUMU PAGASTS, DAUGAVPILS NOVADS, LV-5460",specskola@medumi.lv,65471574,ĒRIKS LUKMANS,5,59
125,DOBELES NOVADS,4511903050,Lejasstrazdu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Stariņi"", LEJASSTRAZDI, DOBELES PAGASTS, DOBELES NOVADS, LV-3722",lejasstrazdu.psk@skolas.zemgale.lv,63700846,ANNA IVAŠKEVIČA,13,44
126,DOBELES NOVADS,4511903252,Dobeles sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"DAINU IELA 8, DOBELE, DOBELES NOVADS, LV-3701",sakumskola@dobele.lv,"63721342, 63722551, 63781216",VIVITA DOLOTOVA,0,321
127,DOBELES NOVADS,4512900867,Bikstu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Alejas"", BIKSTU PAGASTS, DOBELES NOVADS, LV-3713",bikstu.psk@skolas.zemgale.lv,63754524,DACE ŠTAMGŪTE,13,95
128,DOBELES NOVADS,4512900874,Gardenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PRIEŽU IELA 21, GARDENE, AURU PAGASTS, DOBELES NOVADS, LV-3701",gardenes.psk@dobele.lv,"63724483, 63724956",EVITA PIRAGA,69,122
129,DOBELES NOVADS,4512900878,Penkules pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", PENKULE, PENKULES PAGASTS, DOBELES NOVADS, LV-3725",penkules.skola@dobele.lv,28378213,DACE MELBĀRDE,30,100
130,DOBELES NOVADS,4512900881,Mežinieku pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 2, JAUNBĒRZE, JAUNBĒRZES PAGASTS, DOBELES NOVADS, LV-3717",mezinieku.skola@dobele.lv,"63723045, 27234205",ZINTA PURIŅA,0,103
131,DOBELES NOVADS,4513900890,Dobeles 1. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DZIRNAVU IELA 4, DOBELE, DOBELES NOVADS, LV-3701",dobele@d1vsk.edu.lv,"63722143, 63700161, 25495670",SARMĪTE ŠULTE,0,765
132,DOBELES NOVADS,4519902412,Dobeles Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"DZIRNAVU IELA 2, DOBELE, DOBELES NOVADS, LV-3701",gimnazija@dobele.lv,63722549,INESE DIDŽE,0,388
133,DOBELES NOVADS,4522900892,Bērzupes speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Bērzupītes"", ANNENIEKU PAGASTS, DOBELES NOVADS, LV-3718",berzupes.isk@skolas.zemgale.lv,63754323,SERGEJS KARŽAŅECS,5,62
134,DOBELES NOVADS,4531902884,Dobeles Amatniecības un vispārizglītojošā vidusskola,Pašvaldība ,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,"KATOĻU IELA 1, DOBELE, DOBELES NOVADS, LV-3701",davv@dobele.lv,63781303,ROMĀNS GRIŠKEVIČS,0,137
135,DUNDAGAS NOVADS,4112900615,Kolkas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Kolkas pamatskola"", KOLKA, KOLKAS PAGASTS, DUNDAGAS NOVADS, LV-3275",kolkapsk@dundaga.lv,"63220576, 26317511",ANTRA LAUKŠTEINE,29,32
136,DUNDAGAS NOVADS,4113900621,Dundagas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TALSU IELA 18, DUNDAGA, DUNDAGAS PAGASTS, DUNDAGAS NOVADS, LV-3270",vidusskola@dundaga.lv,63232192,AIGA ŠTRAUSA,0,314
137,DURBES NOVADS,4112903172,Ata Kronvalda Durbes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 5a, DURBE, DURBES NOVADS, LV-3440",durbesskola@durbe.lv,"63498070, 27841630",KRISTĪNE BRUZULE,0,173
138,ENGURES NOVADS,4311900252,Milzkalnes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Milzkalnes sākumskola"", MILZKALNE, SMĀRDES PAGASTS, ENGURES NOVADS, LV-3148",milzkalnes.skola@kopideja.lv,63182273,HARIJS BELCĀNS,0,89
139,ENGURES NOVADS,4312900208,Lapmežciema pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIEPU IELA 2a, LAPMEŽCIEMS, LAPMEŽCIEMA PAGASTS, ENGURES NOVADS, LV-3118",skola@lapmezciems.lv,"26005864, 25553874",RAIMONDS ARĀJS,113,161
140,ENGURES NOVADS,4312900209,Smārdes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Smārdes pamatskola"", SMĀRDE, SMĀRDES PAGASTS, ENGURES NOVADS, LV-3129",smardesskola@enguresnovads.lv,63192131,GUNTA LĀCE,98,179
141,ENGURES NOVADS,4313900228,Engures vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 7, ENGURE, ENGURES PAGASTS, ENGURES NOVADS, LV-3113",vidusskola@engure.lv,63161231,ILZE KALNOZOLA,0,230
142,ĒRGĻU NOVADS,4413900131,Ērgļu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"OŠKALNA IELA 6, ĒRGĻI, ĒRGĻU PAGASTS, ĒRGĻU NOVADS, LV-4840",ergvsk@latnet.lv,64871292,INESE ŠAUDIŅA,0,225
143,GARKALNES NOVADS,4312902828,Berģu Mūzikas un mākslas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 8, UPESCIEMS, GARKALNES NOVADS, LV-2137",berguskola@inbox.lv,"67990388, 29338507",ILZE BRIŅĶE,0,437
144,GARKALNES NOVADS,4312903195,Garkalnes Mākslu un vispārizglītojošā pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VIDZEMES ŠOSEJA 34, GARKALNE, GARKALNES NOVADS, LV-2137",garkalne@latnet.lv,"67998480, 29456569   ",LAIMNESIS BRUĢIS,0,285
145,GROBIŅAS NOVADS,4113903297,Zentas Mauriņas Grobiņas novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 1, GROBIŅA, GROBIŅAS NOVADS, LV-3430",skola@grobinasnovads.lv,+37129449686,LAILA URBĀNE,0,905
146,GULBENES NOVADS,4412803358,Gulbenes Valdorfa pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VIDUS IELA 7, GULBENE, GULBENES NOVADS, LV-4401",valdorfskola.gulbene@gmail.com,"29365599, 29765471",ANNIJA CERIŅA,0,3
147,GULBENES NOVADS,4412900952,Stāķu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Stāķi 7"", STĀĶI, STRADU PAGASTS, GULBENES NOVADS, LV-4417",staki@gulbene.lv,"64497253, 64497583",DIĀNA ŠĶĒLA,0,105
148,GULBENES NOVADS,4412900955,Rankas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 5, RANKA, RANKAS PAGASTS, GULBENES NOVADS, LV-4416",rankasskola@gulbene.lv,26147716,LAIMA BRAŠE,0,80
149,GULBENES NOVADS,4412900959,Tirzas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Tirzas pamatskola"", TIRZA, TIRZAS PAGASTS, GULBENES NOVADS, LV-4424",tirza@gulbene.lv,64473934,SVETLANA ZIEPNIECE,46,101
150,GULBENES NOVADS,4412903166,Gulbīša pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Gulbīša pamatskola"", GULBĪTIS, JAUNGULBENES PAGASTS, GULBENES NOVADS, LV-4420",gulbis@gulbene.lv,64471779,SARMĪTE PURIŅA,0,61
151,GULBENES NOVADS,4413900963,Lizuma vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Pils"", LIZUMS, LIZUMA PAGASTS, GULBENES NOVADS, LV-4425",lizuma.vidusskola@gulbene.lv,64473732,INESE DAMBE,74,128
152,GULBENES NOVADS,4413900964,Lejasciema vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 20, LEJASCIEMS, LEJASCIEMA PAGASTS, GULBENES NOVADS, LV-4412",lejasciems@sveiks.lv,64473136,INETA MALTAVNIECE,0,149
153,GULBENES NOVADS,4413903373,Gulbenes novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 10, GULBENE, GULBENES NOVADS, LV-4401",vidusskola@gulbene.lv,"64473178, 64474141",LINDA ŪDRE-RIZGA,0,1158
154,GULBENES NOVADS,4422900923,Sveķu pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Aduliena"", JAUNGULBENES PAGASTS, GULBENES NOVADS, LV-4420",lats.a@inbox.lv,64430434,AIGARS LASIS,0,70
155,IECAVAS NOVADS,4512903301,Iecavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 19, IECAVA, IECAVAS NOVADS, LV-3913",pamatskola@iecava.lv,"63941183, 26593304",AIJA SEMJONOVA,0,188
156,IECAVAS NOVADS,4513901291,Iecavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 37, IECAVA, IECAVAS NOVADS, LV-3913",vidusskola@iecava.lv,"63960755, 63960752",AGRA ZAĶE,0,784
157,IECAVAS NOVADS,4515802737,Rīgas Tālmācības vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Neklātienes vidusskola,"EDVARTA VIRZAS IELA 55, IECAVA, IECAVAS NOVADS, LV-3913",info@talmacibasvsk.lv,+371 26447772,EDGARS GRĪNIS,0,575
158,IECAVAS NOVADS,4515802989,Eiropas Tālmācības vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Neklātienes vidusskola,"EDVARTA VIRZAS IELA 55, IECAVA, IECAVAS NOVADS, LV-3913",ru@sdo.lv,"67278566, 25699906",AIJA BĀRZDAINE,0,416
159,IECAVAS NOVADS,4515802999,Rīgas 1. Tālmācības vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Neklātienes vidusskola,"""Iklāvi"", IECAVA, IECAVAS NOVADS, LV-3913",info@r1tv.lv,26468184,GITA VĀVERE,0,1304
160,IECAVAS NOVADS,4522901299,Zālītes speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Brīviņi"", IECAVAS NOVADS, LV-3913",zalitesskola@iecava.lv,"29483699, 25472888",AIJA SPRIŅĶE,9,45
161,IKŠĶILES NOVADS,4311803322,"Privātā sākumskola ""Ķiparu nams""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"UPES IELA 10A - 4, IKŠĶILE, IKŠĶILES NOVADS, LV-5052",kiparunams@inbox.lv,26311011,SANDA REIKMANE,74,0
162,IKŠĶILES NOVADS,4311903258,Ikšķiles novada pašvaldības vispārējās izglītības iestāde Tīnūžu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Kalnliepas"", TĪNŪŽI, TĪNŪŽU PAGASTS, IKŠĶILES NOVADS, LV-5015",zane.abolina@ikskile.lv,"65068802, 29947407",ZANE ĀBOLIŅA,102,79
163,IKŠĶILES NOVADS,4312803292,"Pamatskola ""Ikšķiles Brīvā skola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RĪGAS IELA 175, IKŠĶILE, IKŠĶILES NOVADS, LV-5052",info@brivaskola.lv,29407780,KRISTĪNE LIBERTA,57,55
164,IKŠĶILES NOVADS,4313900190,Ikšķiles vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 2, IKŠĶILE, IKŠĶILES NOVADS, LV-5052",vidusskola@ikskile.lv,"65030236, 65020992, 65055463 ",GINTA LIEPIŅA,0,1137
165,ILŪKSTES NOVADS,4213903005,Bebrenes vispārizglītojošā un profesionālā vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Bebrenes muiža"", BEBRENE, BEBRENES PAGASTS, ILŪKSTES NOVADS, LV-5439",skola@bebrene.lv,"65444936, 65425966",ĒRIKA ŠARŠUNE,0,47
166,ILŪKSTES NOVADS,4213903225,Ilūkstes Raiņa vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAIŅA IELA 49, ILŪKSTE, ILŪKSTES NOVADS, LV-5447",raina.vidusskola@ilukste.lv,"65462189, 29297586",VELTA ŠTERNA,0,448
167,ILŪKSTES NOVADS,4222900521,Raudas internātpamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Raudas skola"", RAUDA, ŠĒDERES PAGASTS, ILŪKSTES NOVADS, LV-5474",drauda@inbox.lv,65475040,ANITA ZAHARČENKO,0,15
168,INČUKALNA NOVADS,4312901339,Inčukalna pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ZVAIGŽŅU IELA 2, INČUKALNS, INČUKALNA PAGASTS, INČUKALNA NOVADS, LV-2141",incukaln@latnet.lv,"67977275, 67977650, 67977176",,45,275
169,INČUKALNA NOVADS,4313901104,Vangažu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAUJAS IELA 2, VANGAŽI, INČUKALNA NOVADS, LV-2136",vang_vsk@latnet.lv,67995428,INDRA KALNIŅA,61,416
170,JAUNJELGAVAS NOVADS,4512900981,Daudzeses pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", DAUDZESE, DAUDZESES PAGASTS, JAUNJELGAVAS NOVADS, LV-5111",skola@daudzese.lv,65141136,VALDIS PUIDA,0,85
171,JAUNJELGAVAS NOVADS,4512900983,Seces pagasta pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Seces pamatskola"", SECE, SECES PAGASTS, JAUNJELGAVAS NOVADS, LV-5124",sarmastugle@inbox.lv,65129308,SARMA STUGLE,0,78
172,JAUNJELGAVAS NOVADS,4513901040,Jaunjelgavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"UZVARAS IELA 1, JAUNJELGAVA, JAUNJELGAVAS NOVADS, LV-5134",miliga63@inbox.lv,65133690 65133691,LAUMA MĪLĪGA,0,213
173,JAUNPIEBALGAS NOVADS,4413900339,Jaunpiebalgas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAUJAS IELA 41, JAUNPIEBALGA, JAUNPIEBALGAS PAGASTS, JAUNPIEBALGAS NOVADS, LV-4125",pasts@jv.edu.lv,64162266,ARNIS RATIŅŠ,90,268
174,JAUNPILS NOVADS,4313900207,Jaunpils vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"Jaunpils vidusskola, JAUNPILS, JAUNPILS PAGASTS, JAUNPILS NOVADS, LV-3145",jaunpvsk@latnet.lv,63162193,JĀNIS LIEPIŅŠ,89,222
